,rsi,macd_norm,macd_signal_norm,macd_hist_norm,bb_bandwidth,bb_pct_b,natr,vwap_dev,zscore,frac_diff_close,hl_spread,co_return,body_ratio,upper_shadow,lower_shadow,log_volume,log_dollar_volume,ret_1,ret_2,ret_3,ret_4,ret_5,vol_5,vol_10,vol_20,cs_spread,amihud,autocorr_10,ret,bin,weight,bar_type,source,bar_class,min_d,feature_mode
2024-02-06 12:00:00+00:00,56.2010960412151,0.005941057108775245,0.0060241171650560095,-8.306005628076458e-05,0.03710274936704369,0.6618853065577354,0.020760907006739507,-0.006315211200302623,0.6311451161858411,3.897427943415053,0.017358765619522824,0.006165801770785443,0.3541053757684414,0.40077560845092597,0.24511901577929537,11.597078387970095,22.267862434921785,0.006165801770808614,0.002839528871718542,-0.011363321948384223,0.014239124979335485,-0.011010262852176617,0.011169512147432155,0.007647372350414568,0.010891740165949095,0.006175797286345206,0.001741638179812587,0.18791135387438923,0.028537963646790482,1.0,0.37028557897022524,12h,calendar,calendar,0.2,unified
2024-02-07 12:00:00+00:00,65.07308772264085,0.007736722816438198,0.006172379867165599,0.0015643429492725987,0.04302431283342105,1.2390526570376412,0.02049200838269965,-0.030959017215773422,2.881357703252198,3.9249991902434456,0.034363423889256534,0.03230091630342335,0.9249606092430882,0.04057247899157199,0.03446691176468332,12.142662447596495,22.841988323717473,0.03229858624345916,-0.0037606225966686077,0.006165801770808614,0.002839528871718542,-0.011363321948384223,0.01654892660174064,0.012961375105856716,0.012604322254702892,0.0,0.0017850129607092733,0.08843727005729639,0.06188320945486658,1.0,0.304306391018301,12h,calendar,calendar,0.2,unified
2024-02-08 00:00:00+00:00,67.14573565084183,0.00996429682089029,0.006891892567940201,0.0030724042529500896,0.052495771985389766,1.2054534455671493,0.01980177992387395,-0.03606697788253272,2.750363861511959,3.9264517281822418,0.012925853721862198,0.007900791849748437,0.6088311688301121,0.35740259740198105,0.033766233766175296,11.656067765751542,22.36329335078389,0.00790304784931994,0.03229858624345916,-0.0037606225966686077,0.006165801770808614,0.002839528871718542,0.013718647472356666,0.01277989731547052,0.012648883313630094,0.0,0.0017863749807346756,0.08179118578251884,0.05398016160554658,1.0,0.3383525347872271,12h,calendar,calendar,0.2,unified
2024-02-08 12:00:00+00:00,70.33278549275093,0.012533444444377076,0.007948198209116825,0.00458524623526025,0.06850077518041298,1.2057605014637813,0.019756026047396923,-0.04444969462917252,2.751560985782682,3.9353805149300474,0.022523089701363096,0.013145708333346837,0.5798352295011947,0.3245390349153368,0.09562573558248776,12.124596225999456,22.84497076118307,0.013145708333369189,0.00790304784931994,0.03229858624345916,-0.0037606225966686077,0.006165801770808614,0.013313124605574198,0.013024894604359467,0.011838314712091147,0.0,0.0016979118249767374,0.18338710355256677,0.04083445327217726,1.0,0.29117182100826,12h,calendar,calendar,0.2,unified
2024-02-09 00:00:00+00:00,77.75079942849203,0.017116878751806505,0.009527515924521151,0.007589362827285355,0.10509125793351357,1.3321651429419554,0.02074924080648113,-0.07667377369831935,3.244377003669514,3.971325984726496,0.043937237970221275,0.04083224426226679,0.9106134465944749,0.06472320092665367,0.024663352478388845,12.25523335056467,23.016443003302527,0.04083445327217726,0.013145708333369189,0.00790304784931994,0.03229858624345916,-0.0037606225966686077,0.01819933813052732,0.017080922769289526,0.014654266514532987,0.0,0.001840307231883692,0.20937503403498353,0.01578162372598987,1.0,0.0751155589100752,12h,calendar,calendar,0.2,unified
2024-02-10 12:00:00+00:00,79.38918389179483,0.02614422577710147,0.016415450416011015,0.009728775361090456,0.16059205063501117,1.0191622282104575,0.021028863449475906,-0.06875839714223235,2.0240669879840425,3.964388084109572,0.023166557028110192,0.011799267182830765,0.5063302586358268,0.4132754566825724,0.08039428468069645,11.569542188233436,22.34290262041903,0.011797147314919534,0.0012026867814663663,-0.000844365291170824,0.04083445327217726,0.013145708333369189,0.01663437699965821,0.014538912581494041,0.013858920972525345,0.0,0.0017880396727921134,0.0077152618449347265,0.04527976614539472,1.0,0.20951912882297777,12h,calendar,calendar,0.2,unified
2024-02-11 00:00:00+00:00,81.39909884431538,0.028770357633371137,0.01870435637725032,0.010066001256120817,0.1751565197334791,1.0182350207836408,0.020821180224637338,-0.07601914539178865,2.020452067942376,3.973485100553652,0.021911548084133585,0.013961654469758902,0.6327550443139418,0.18508391476505573,0.18216104092005958,11.656610484613536,22.44393335921353,0.013961654469779924,0.011797147314919534,0.0012026867814663663,-0.000844365291170824,0.04083445327217726,0.016637380669368762,0.014254468197627088,0.01335618642956277,0.0008034869541527506,0.0017776834252107485,-0.07017889579185488,0.03131811167561483,1.0,0.35106054208559623,12h,calendar,calendar,0.2,unified
2024-02-12 00:00:00+00:00,75.18383291297411,0.031385670284656254,0.023322175152957737,0.008063495131698519,0.19444624818210313,0.8472852165393676,0.02061387492357888,-0.05582254890016884,1.3539670338406662,3.9545421578103923,0.023880098526280136,-0.00826119402308693,0.34737762237732,0.47430069930028346,0.17832167832152246,11.741922403738192,22.518910487077743,-0.008261194023066331,-0.002074305525938754,0.013961654469779924,0.011797147314919534,0.0012026867814663663,0.009391649265966152,0.015439968543987945,0.013264852601607749,0.006402242124172758,0.0016868927670940172,0.050249582766413496,0.04165361122461999,1.0,0.5388911969280001,12h,calendar,calendar,0.2,unified
2024-02-12 12:00:00+00:00,81.50207341218142,0.03335399504051672,0.024567340272691293,0.008786654767825428,0.21279138302948558,0.9916175364657673,0.02203838472247639,-0.08142103876826247,1.9166780096933826,3.9955749951665576,0.05149008081115393,0.04165569864797777,0.7923860631510367,0.18261004821893614,0.025003888629638336,12.692083051915132,23.51072962433441,0.04165361122461999,-0.008261194023066331,-0.002074305525938754,0.013961654469779924,0.011797147314919534,0.01930103020842198,0.017071303263710556,0.015506937962976539,0.005291078999295126,0.0018063806027377785,0.5007922136787029,0.03265055927373361,1.0,0.23832650767559072,12h,calendar,calendar,0.2,unified
2024-02-14 00:00:00+00:00,82.99554803847143,0.03852393201763459,0.029942505624433978,0.008581426393200612,0.2442508451794306,0.9659911249564462,0.02382006501268652,-0.09306679986514649,1.8167678645826635,4.012077835399634,0.05064610900521599,0.037612432159613844,0.72885895767937,0.08720440805078217,0.18393663426946513,12.189438990134333,23.040734113369304,0.037612432159633946,-0.006170506356892357,0.0012086334709922632,0.04165361122461999,-0.008261194023066331,0.02441908425251742,0.017595830475566277,0.016877910364070655,0.0,0.0018565856669767037,0.7162905297496147,0.0023711623702600405,1.0,0.01642955799359113,12h,calendar,calendar,0.2,unified
