datetime,rsi,macd_norm,macd_signal_norm,macd_hist_norm,bb_bandwidth,bb_pct_b,natr,vwap_dev,zscore,frac_diff_close,hl_spread,co_return,body_ratio,upper_shadow,lower_shadow,log_volume,log_dollar_volume,ret_1,ret_2,ret_3,ret_4,ret_5,vol_5,vol_10,vol_20,cs_spread,amihud,autocorr_10,ret,bin,weight,bar_type,source,bar_class,min_d,feature_mode
2024-01-09 12:56:37.823000+00:00,52.000516528150456,0.01462252033529714,0.016297504293234177,-0.0016749839579370388,0.09147415715448366,0.4884265937373247,0.013953010967502613,0.0010866682966192633,-0.0451214442844876,3.913178036294843,0.013737648884552409,-0.013573088629232927,0.9947569113425637,0.005243088655847448,0.0,8.16607875913815,18.898176701113368,-0.013575241859541336,-0.0136270968129283,0.012039275795491829,-0.008067857936117006,0.0064138714525367665,0.011880599412717168,0.012093691077745954,0.010940051274660453,0.0,0.014961138021713036,-0.40834031153797257,0.027136489876151287,1.0,0.004225021760372722,range,tick,information,0.2,unified
2024-01-09 12:56:50.066000+00:00,53.573486467909696,0.012988274861663955,0.015577439375130273,-0.0025891645134663178,0.08166094930959071,0.5125296542164726,0.013862664752625686,-0.002076542868459075,0.04884958514381103,3.9205562070120408,0.01349812695018782,0.0044840634170179115,0.33145524790673486,0.0,0.6685447520916554,8.483166390517889,19.219816890005365,0.004475332747288151,-0.013575241859541336,-0.0136270968129283,0.012039275795491829,-0.008067857936117006,0.011507537083487382,0.011375535385391036,0.01047775188253484,0.0,0.01522944522779376,-0.17720096629371387,0.02266115712886321,1.0,0.0074434689443232125,range,tick,information,0.2,unified
2024-01-09 12:57:34.439000+00:00,55.868379574249815,0.012056564587132699,0.014791806017689821,-0.0027352414305571223,0.07386550982213806,0.5720288325046526,0.013750499698514782,-0.005222206648394778,0.2808200869278162,3.927224789342538,0.013470339348933309,0.006553679621770629,0.48493589743511795,0.0,0.5150641025632795,8.888207907608294,19.631485358610966,0.006558025435578522,0.004475332747288151,-0.013575241859541336,-0.0136270968129283,0.012039275795491829,0.011984933556495119,0.011291212239676413,0.010402739012016828,0.0,0.015960058272318434,-0.20150265342484633,0.02816158248529461,1.0,0.012175024971199395,range,tick,information,0.2,unified
2024-01-09 13:01:47.024000+00:00,58.550685870571634,0.011795864457330147,0.014099328026291205,-0.002303463568961058,0.06963774913148513,0.6606391186879772,0.013628362222856887,-0.01158183683436235,0.6262865814332284,3.9339612154786154,0.013449812709216047,0.007912641454580423,0.5859872611455638,0.0,0.41401273885284395,9.518684408271058,20.26994120535819,0.007914800160500798,0.006558025435578522,0.004475332747288151,-0.013575241859541336,-0.0136270968129283,0.010977693552224485,0.010981004352686964,0.01024875654119984,0.0,0.01591628153686696,-0.257248102078965,0.0202467823247938,1.0,0.01790998439911858,range,tick,information,0.2,unified
2024-01-09 13:53:38.034000+00:00,61.199393297928445,0.012088148471752842,0.013605109244633373,-0.0015169607728805305,0.06357726675507383,0.76326455137185,0.013512161296469125,-0.01667139411179156,1.0263941761999271,3.9400995531806196,0.01344634208513864,0.008186189845133921,0.6063191153229014,0.0,0.3936808846755188,10.248053021847488,21.007536191561883,0.00818833153278377,0.007914800160500798,0.006558025435578522,0.004475332747288151,-0.013575241859541336,0.009222727872971351,0.01055033713333265,0.01021830668371639,0.0,0.01609412941721585,-0.07706901762089641,-0.02487345356512713,-1.0,0.02387633921255124,range,tick,information,0.2,unified
2024-01-09 15:01:56.026000+00:00,55.12955009557282,0.011362212260790105,0.013300411627701984,-0.00193819936691188,0.0576947645522505,0.5320388632456016,0.013694015556102838,-0.002279573867207158,0.12491048443853492,3.924394692154385,0.013736015393290474,-0.013134971641331235,0.9625509244735755,0.03744907552485759,0.0,10.167729744900413,20.914077104190213,-0.01313284741890827,0.00818833153278377,0.007914800160500798,0.006558025435578522,0.004475332747288151,0.00902746388248597,0.01046457776731136,0.01069883662353916,0.012486453199923708,0.01599946351768112,0.21283469019120096,0.025191298210918273,1.0,0.02427592357529565,range,tick,information,0.2,unified
2024-01-09 21:11:51.616000+00:00,59.37031921013431,0.011421735673058594,0.012788976176538779,-0.001367240503480185,0.05467753510907826,0.7349906126404089,0.01350988658659854,-0.010845919891729268,0.9161620697466905,3.9385876776046036,0.013386596404742396,0.012837564045241143,0.952857142855635,0.0,0.047142857142777696,11.275508328993872,22.034716809799505,0.012835411737181255,-0.01313284741890827,0.00818833153278377,0.007914800160500798,0.006558025435578522,0.010122904732380622,0.01109887982974901,0.010925857044494294,0.01181174225899513,0.016022802002043757,0.2135456103806429,-0.02457601788340011,-1.0,0.05940204698380541,range,tick,information,0.2,unified
2024-01-09 21:12:01.627000+00:00,63.03774591221685,0.012290704115858931,0.012563684234128895,-0.00027298011826996265,0.04838875394914092,0.961472922298591,0.013401249833224008,-0.02241739500647101,1.7991526677369483,3.9485478027249687,0.014145666787695074,0.012353761619401217,0.8679525222539052,0.07848664688415871,0.0535608308604525,8.578721498903397,19.35011046668884,0.012355886473737147,0.012835411737181255,-0.01313284741890827,0.00818833153278377,0.007914800160500798,0.010735051182917213,0.011253604596770599,0.01076417753106467,0.0,0.016721044500497242,-0.02063958347287618,-0.023862057080602274,-1.0,0.06843069696133838,range,tick,information,0.2,unified
2024-01-09 21:13:47.610000+00:00,65.08210229165988,0.013431997208747468,0.012663555354989638,0.0007684418537578303,0.04743054806551829,1.0668469907895821,0.013325583721961241,-0.026867545836697156,2.2099764176799472,3.9523696122588206,0.013620975218491637,0.007389814235950652,0.5405322728654931,0.0,0.45946772713297745,9.793519549804092,20.572409610460817,0.007368826379544632,0.012355886473737147,0.012835411737181255,-0.01313284741890827,0.00818833153278377,0.01070877459170285,0.010900635111263329,0.010689431458906114,0.0,0.016798818083780944,-0.03835381042491794,-0.023420284081819117,-1.0,0.07389346183753387,range,tick,information,0.2,unified
2024-01-09 21:15:39.007000+00:00,59.47842206876572,0.013473903006447232,0.012944652765663707,0.0005292502407835246,0.04526466976861931,0.7912753658160102,0.013509667010960465,-0.01382800296206932,1.1356004353270615,3.9374986857031935,0.013867429983073845,-0.010204469764622933,0.739626082990208,0.260373917008272,0.0,9.372815195501303,20.139995489064777,-0.011680574035409216,0.007368826379544632,0.012355886473737147,0.012835411737181255,-0.01313284741890827,0.012928848909085173,0.010605220241560478,0.010955886283761875,0.008763380649576904,0.017341220593349516,0.28560076529227696,-0.0326201567012726,-1.0,0.06568837924139159,range,tick,information,0.2,unified
