,rsi,macd_macd,macd_signal,macd_histogram,bb_bb_upper,bb_bb_mid,bb_bb_lower,bb_bb_bandwidth,bb_bb_pct_b,atr,natr,vwap_rolling,zscore,frac_diff_close,hl_spread,co_return,oc_return,body_ratio,upper_shadow,lower_shadow,log_volume,log_dollar_volume,ret_1,ret_2,ret_3,ret_4,ret_5,vol_5,vol_10,vol_20,cs_spread,amihud,autocorr_10,ret,bin,weight,bar_type,source,bar_class,min_d,feature_mode
2024-01-01 08:00:00+00:00,99.99999999999937,38.2244624637824,9.651319843183737,28.573142620598666,,,,,,528.529081632653,0.012369734823220891,,,,0.007269306022336647,0.004703561672155424,2.3514445277890085e-06,0.6455247907255487,0.23309723116474146,0.12137797810649031,9.963001063179457,20.625554312465166,0.0047059131167298115,0.003703324027792077,,,,,,,0.0,,,0.002113493473663283,1.0,0.0011058209007937447,4h,calendar,calendar,0.4,unified
2024-01-01 12:00:00+00:00,99.99999999999936,65.12327248982183,20.745710372511358,44.377562117310475,,,,,,510.27700437317776,0.011917347946498617,,,,0.006375823251903257,0.0021111530687732915,2.340404843208197e-06,0.33076923076802983,0.2545787545778221,0.4146520146504851,10.050260814585956,20.714931494081892,0.002113493473663283,0.0047059131167298115,0.003703324027792077,,,,,,0.0008708124131153676,,,0.017093483338621304,1.0,0.004476367965130747,4h,calendar,calendar,0.4,unified
2024-01-01 16:00:00+00:00,99.99999999999949,144.3434424818406,45.46525679437721,98.8781856874634,,,,,,538.1215040608079,0.012354647652017575,,,,0.02066525546305642,0.017093483338597948,-2.331468351712856e-14,0.8201310965439153,0.04110654371731914,0.13876235973765458,10.746593273888713,21.42837909280499,0.017093483338621304,0.002113493473663283,0.0047059131167298115,0.003703324027792077,,,,,0.0,,,0.01535575542463082,1.0,0.0018290371539410135,4h,calendar,calendar,0.4,unified
2024-01-01 20:00:00+00:00,99.99999999999957,258.5319694843347,88.07859933236871,170.453370151966,,,,,,559.6842537707502,0.012653893804928538,,,,0.018991548760801016,0.015355755424607861,-2.2870594307278487e-14,0.8023809523799972,0.042619047619000344,0.154999999999812,11.103579962861971,21.800727997439985,0.01535575542463082,0.017093483338621304,0.002113493473663283,0.0047059131167298115,0.003703324027792077,0.007053287329061805,,,0.0,,,0.026874919459527562,1.0,0.0004776770057771455,4h,calendar,calendar,0.4,unified
2024-01-02 00:00:00+00:00,99.99999999999967,441.1590835804964,158.69469618199423,282.46438739850214,,,,,,617.1425213585536,0.013582976149632522,,,,0.030023109937272335,0.026872658563398728,2.260896083811376e-06,0.8831463968910749,0.09530093101671787,0.021552672091474184,11.779514186149907,22.503544538538197,0.026874919459527562,0.01535575542463082,0.017093483338621304,0.002113493473663283,0.0047059131167298115,0.010023297024325946,,,0.0,,,-0.03827352239513437,0.0,0.012512364014176474,4h,calendar,calendar,0.4,unified
2024-01-02 12:00:00+00:00,92.43822980523625,741.0552759908605,414.4020237619443,326.65325222891624,,,,,,652.0206703442942,0.014420450521824488,,,,0.02171624460908946,-0.0059932837843584864,-2.1871393585115824e-14,0.27681026581090307,0.36989510133376785,0.3532946328543107,11.502353508247728,22.221527571314386,-0.005993283784336595,-0.00019124599018735807,0.001330686819657129,0.026874919459527562,0.01535575542463082,0.013382654450476506,,,0.00630110496675036,,,-0.03341967944026747,0.0,0.010897447658608318,4h,calendar,calendar,0.4,unified
2024-01-02 20:00:00+00:00,86.34849562067136,762.9253507120302,539.7810660567799,223.14428465525032,,,,,,659.2897616744168,0.014657463165118937,,,,0.016471838469712737,-0.0020765533579462235,2.218610794881063e-06,0.12619786745832584,0.35848292617038674,0.5153192063699377,10.837489883893555,21.55143901433357,-0.0020743347471071324,-0.0031410553446833455,-0.005993283784336595,-0.00019124599018735807,0.001330686819657129,0.002811492284010623,0.010616145691906071,,0.00776046856283127,,,-0.02820428934847696,0.0,0.005508869417307973,4h,calendar,calendar,0.4,unified
2024-01-03 00:00:00+00:00,87.59224105483409,780.0361148239026,587.8320758102045,192.2040390136981,,,,,,652.7476358405297,0.014410139914974451,,,,0.012532617478111178,0.007047189310249458,-2.2232226947207087e-06,0.5603311608234052,0.29187951382720817,0.1477893253476252,10.212840065657662,20.933817114864507,0.00704496608759889,-0.0020743347471071324,-0.0031410553446833455,-0.005993283784336595,-0.00019124599018735807,0.004898049141297064,0.010619843008556852,,0.0036220596469453675,,,-0.03524925543607595,0.0,0.009919694238839934,4h,calendar,calendar,0.4,unified
2024-01-03 04:00:00+00:00,80.91639264977276,763.2216295574399,622.9099865596517,140.31164299778823,,,,,,639.1942332804919,0.014194726968458905,,,,0.010281942865264126,-0.005920648947335952,-2.1982415887578342e-14,0.5775377969749976,0.270410367170036,0.1520518358528065,10.205384463749079,20.920440589395454,-0.00592064894731395,0.00704496608759889,-0.0020743347471071324,-0.0031410553446833455,-0.005993283784336595,0.0053487223899407865,0.011220132525667618,,0.00880562313523382,,,-0.02932860648876196,0.0,0.010984511380768105,4h,calendar,calendar,0.4,unified
2024-01-03 08:00:00+00:00,57.81839575714741,637.5268433280726,625.8333579133359,11.693485414736642,,,,,,742.2732166175998,0.016974431477068935,,,,0.047618394242708036,-0.029330827208319418,2.220719513174424e-06,0.625078038706897,0.26499543773699136,0.10992652355563137,11.68019480338772,22.36595083356243,-0.02932860648876196,-0.00592064894731395,0.00704496608759889,-0.0020743347471071324,-0.0031410553446833455,0.013561405607907787,0.014731837220501634,,0.0026780536863190985,,,-0.001366162634779142,0.0,0.0005238391186764529,4h,calendar,calendar,0.4,unified
