datetime,rsi,macd_norm,macd_signal_norm,macd_hist_norm,bb_bandwidth,bb_pct_b,natr,vwap_dev,zscore,frac_diff_close,hl_spread,co_return,body_ratio,upper_shadow,lower_shadow,log_volume,log_dollar_volume,ret_1,ret_2,ret_3,ret_4,ret_5,vol_5,vol_10,vol_20,cs_spread,amihud,autocorr_10,ret,bin,weight,bar_type,source,bar_class,min_d,feature_mode
2024-01-18 17:53:37.517000+00:00,33.01940140314791,-0.013473418667025167,-0.013761046524920892,0.0002876278578957259,0.03573257418593269,-0.26382526181087307,0.021400937324434627,0.028102998728903168,-2.9779390968961628,3.8550788039542665,0.02565301204819212,-0.024821901910689483,0.9797106894599115,0.020289310539149244,0.0,11.192899248143839,21.826334182960963,-0.024824252470863273,-0.006268055768082405,0.0033622914890444125,0.00536747488046619,-0.007240709027486192,0.011966664102687454,0.009479371503382319,0.009782960665760343,0.0,0.002246724103055727,0.17356416161496996,0.003574327365876453,1.0,0.010490813827237181,dollar,tick,information,0.2,unified
2024-01-18 19:59:36.380000+00:00,30.090692839137375,-0.015693772507962344,-0.014276412829904847,-0.001417359678057497,0.04892429581018538,-0.2462869020797857,0.022050403438274857,0.037939186808215376,-2.909561982718493,3.8489851294633137,0.027237932715747825,-0.011638493857937814,0.42978609147012087,0.37796473641781425,0.19224917211116987,11.206335044435388,21.82813648845746,-0.01163367459241804,-0.024824252470863273,-0.006268055768082405,0.0033622914890444125,0.00536747488046619,0.012245822372106401,0.009789386993767439,0.010028857074505687,0.0,0.0024370365073445818,0.16889401943349835,0.006376506373919243,1.0,0.0188483528724694,dollar,tick,information,0.2,unified
2024-01-19 00:03:22.949000+00:00,33.528580190220566,-0.016520890366801103,-0.014653400417071265,-0.0018674899497298381,0.05542309337157427,-0.017422453682827542,0.02154524553716467,0.028859007041510443,-2.017284098173186,3.860026587820281,0.016782986392893058,0.006318383883668031,0.3752886836022281,0.12485565819843358,0.4998556581978949,11.214500911463805,21.84261841203285,0.006315946045518468,-0.01163367459241804,-0.024824252470863273,-0.006268055768082405,0.0033622914890444125,0.012486391622862683,0.009197200186585295,0.010202446535178926,0.0038994338133463056,0.002532860037379398,0.3041780749135998,6.0560328400799226e-05,1.0,0.00018027541586968548,dollar,tick,information,0.2,unified
2024-01-19 08:03:23.144000+00:00,33.70419633533878,-0.01702757465310349,-0.01512454466942151,-0.0019030299836819825,0.06053072373122915,0.0580699208247085,0.021450786517510714,0.026721720186471114,-1.7229606386026841,3.8615662092444163,0.020310997774435412,0.0003172961549981214,0.015619410993183327,0.34028854179046103,0.6440920472151633,11.126614185498608,21.755045321657594,0.00031487366559946266,0.006315946045518468,-0.01163367459241804,-0.024824252470863273,-0.006268055768082405,0.011940399680402065,0.009288782956468443,0.01021313450052934,0.010786918245540586,0.0024697061656431107,0.2964453496624484,-0.018776439970960474,-1.0,0.0577770225351794,dollar,tick,information,0.2,unified
2024-01-19 15:14:55.686000+00:00,31.213451308891678,-0.01809873875809846,-0.01582717020659496,-0.0022715685515034955,0.06680423386112491,0.005723801409243438,0.021278408781168073,0.03381456467711695,-1.9270433828792222,3.8538669520267446,0.01655333839910242,-0.008866395313774714,0.5380073800730066,0.33298892988880524,0.1290036900367121,11.203823659210855,21.823387071737447,-0.008868817040514442,0.00031487366559946266,0.006315946045518468,-0.01163367459241804,-0.024824252470863273,0.01194526284675199,0.009394882749744395,0.010163090178675182,0.014032998696859814,0.0024281898605299597,0.3276349233830079,-0.011584545393462438,-1.0,0.036301524734640885,dollar,tick,information,0.2,unified
2024-01-19 17:13:01.458000+00:00,28.608208109091777,-0.01962608287802217,-0.016717348517054174,-0.002908734360967995,0.07522246060564694,-0.03321133472809564,0.021505143520695835,0.041871906017587,-2.07884048876633,3.8463962706106223,0.02160395545912048,-0.010250631262154798,0.47691956124260276,0.28187842778760974,0.24120201096864494,11.217367095768827,21.82668494686224,-0.010245744679708568,-0.008868817040514442,0.00031487366559946266,0.006315946045518468,-0.01163367459241804,0.007788355850740775,0.009536174309840315,0.010296823436094716,0.0,0.002586601014817458,0.33770164491176136,0.028925118169626254,1.0,0.008500290675733012,dollar,tick,information,0.2,unified
2024-01-19 19:06:30.638000+00:00,43.16613092140219,-0.01759553304813018,-0.0165116855546473,-0.0010838474934828834,0.0756743523049793,0.3449927043152257,0.022024942199137358,0.011084154816637512,-0.6043296931937954,3.8789273970191793,0.03675299760191755,0.028927586631910106,0.7758058201743607,0.19574579146535595,0.02844838835963078,11.202468495602034,21.840711263140008,0.028925118169626254,-0.010245744679708568,-0.008868817040514442,0.00031487366559946266,0.006315946045518468,0.01586048715149992,0.014377667667301733,0.011195319103573138,0.0039034618178610567,0.002706523346703527,-0.028456641854660566,-0.030263918883380165,-1.0,0.10177820091973987,dollar,tick,information,0.2,unified
2024-01-20 03:06:30.699000+00:00,42.139476186530416,-0.016547189995772843,-0.016560701109641553,1.351111386870964e-05,0.07641359596196967,0.3205757169270515,0.0217856295128654,0.01352259008740703,-0.6995246350307249,3.871959486681977,0.017766027314214082,-0.0031656845383844483,0.1784698713606289,0.6731211916036905,0.14840893703432653,11.180827294160123,21.81590168066562,-0.0031680826227706614,0.028925118169626254,-0.010245744679708568,-0.008868817040514442,0.00031487366559946266,0.01597457837449235,0.01415952472882198,0.010546599650396808,0.0,0.0024865544659224918,-0.20870045244667337,-0.046692438346839525,-1.0,0.1244726517184452,dollar,tick,information,0.2,unified
2024-01-20 11:06:30.775000+00:00,41.625389210360176,-0.015639504803274227,-0.016396763465601365,0.0007572586623271374,0.0772608535464043,0.3176507985852588,0.02082465058005522,0.014183451983850513,-0.7109280660518498,3.8701437351765247,0.007897938777722779,-0.0015287853951331534,0.19371568029226882,0.6510067114074086,0.15527760829727189,10.410269853076658,21.043796865878722,-0.0015311910889051414,-0.0031680826227706614,0.028925118169626254,-0.010245744679708568,-0.008868817040514442,0.01602692977676311,0.014014039026049623,0.010545897957245524,0.0037638131298570817,0.0025143038020604713,-0.18338386731557724,-0.0451612472579343,-1.0,0.20309994120779168,dollar,tick,information,0.2,unified
2024-01-20 19:06:31.820000+00:00,43.1760238224782,-0.014430434822859418,-0.01596188026677335,0.0015314454439139316,0.07672622990958534,0.37367962195827026,0.01967296840828695,0.009680701992618779,-0.4924874985325043,3.873587186016991,0.005560012104734643,0.0031777330624924095,0.5706263498895374,0.3019438444911426,0.1274298056150003,10.302524745793447,20.939226064886917,0.003177733062516314,-0.0015311910889051414,-0.0031680826227706614,0.028925118169626254,-0.010245744679708568,0.015043593160232634,0.0140947595395654,0.010480786737752606,0.004268928807994831,0.00256401836980037,-0.2034788807339346,-0.028742378234220683,-1.0,0.19966712093188757,dollar,tick,information,0.2,unified
