,rsi,macd_macd,macd_signal,macd_histogram,bb_bb_upper,bb_bb_mid,bb_bb_lower,bb_bb_bandwidth,bb_bb_pct_b,atr,natr,vwap_rolling,zscore,frac_diff_close,hl_spread,co_return,oc_return,body_ratio,upper_shadow,lower_shadow,log_volume,log_dollar_volume,ret_1,ret_2,ret_3,ret_4,ret_5,vol_5,vol_10,vol_20,cs_spread,amihud,autocorr_10,ret,bin,weight,bar_type,source,bar_class,min_d,feature_mode
2024-01-15 14:28:00+00:00,0.0,-21.77825504662178,-4.864915966588888,-16.91333908003289,,,,,,1022.1586734693902,0.024062512175798335,,,,0.016069003020294178,-0.004751015560654194,-2.331468351712856e-14,0.2963668326980658,0.42103721066449024,0.28259595663597903,10.18521090703766,20.841945360532492,-0.004751015560630768,-0.0009343923792701653,,,,,,,0.0024784027813054598,,,0.007364649822525327,1.0,0.00034906167149976786,dollar,minute,information,0.2,unified
2024-01-15 15:39:00+00:00,0.0,-41.77884756040294,-12.247702285351698,-29.531145275051237,,,,,,972.7187682215766,0.022937098531214006,,,,0.0077815323016120095,-0.0016775167268114884,-2.3425705819591078e-14,0.2157575757569352,0.053030303030142334,0.7312121212098922,10.07761664252818,20.732669293925376,-0.0016775167267880232,-0.004751015560630768,-0.0009343923792701653,,,,,,0.0,,,0.00904216654931334,1.0,0.0007200532950087882,dollar,minute,information,0.2,unified
2024-01-15 18:10:00+00:00,35.899586603558035,-26.24451009900804,-15.047063848082967,-11.197446250925072,,,,,,949.6102847771781,0.022190629953221137,,,,0.015170599135845609,0.009042166549289795,-2.3536728122053596e-14,0.5933456561913321,0.018330252618570398,0.3883240911885572,10.07154988643747,20.735644448734696,0.00904216654931334,-0.0016775167267880232,-0.004751015560630768,-0.0009343923792701653,,,,,0.004522849489227912,,,0.012558305660968149,1.0,0.004536496700817243,dollar,minute,information,0.2,unified
2024-01-15 18:44:00+00:00,58.45138184720821,29.36609059125476,-6.164432960215422,35.53052355147018,,,,,,929.0024072930938,0.021438137801248758,,,,0.015255883934360778,0.012558305660944687,-2.331468351712856e-14,0.8180305551341382,0.06337921645732593,0.1185902284070232,10.058441038599637,20.735093348841072,0.012558305660968149,0.00904216654931334,-0.0016775167267880232,-0.004751015560630768,-0.0009343923792701653,0.007503158756701435,,,0.0,,,-0.01653645569638654,0.0,0.008569499588139608,dollar,minute,information,0.2,unified
2024-01-15 20:05:00+00:00,48.027298763494564,47.8876029201856,4.645974215864783,43.24162870432082,,,,,,901.20937820073,0.02094652041289992,,,,0.01254872246614097,-0.007174781584120769,-2.2981616609741005e-14,0.5738099648072255,0.047971846638180056,0.37821818855274236,10.05500598532455,20.724483366634743,-0.0071747815840978455,0.012558305660968149,0.00904216654931334,-0.0016775167267880232,-0.004751015560630768,0.008711265847830173,,,0.010773685848059666,,,-0.018040015777078734,0.0,0.010940571258171314,dollar,minute,information,0.2,unified
2024-01-15 22:39:00+00:00,40.400823501051406,37.56243334405008,11.229266041501843,26.333167302548233,,,,,,892.0801369006774,0.020882123439264166,,,,0.018104017340904593,-0.007104883626755457,2.324265189490159e-06,0.39384535815827126,0.11675717610535241,0.48939746573508336,10.085218643372698,20.747594744178055,-0.007102559361519716,-0.0071747815840978455,0.012558305660968149,0.00904216654931334,-0.0016775167267880232,0.009190145903491483,,,0.0,,,0.017486743809861108,1.0,0.008053487630150086,dollar,minute,information,0.2,unified
2024-01-16 09:42:00+00:00,49.352583061328275,33.86279912835016,18.03864588956399,15.82415323878617,,,,,,798.7839507182177,0.01858337212434028,,,,0.013130528245524787,0.0057933439603355934,-1.1699806391701282e-05,0.43993621544926,0.3208717221822771,0.2391920623666911,10.058991758790212,20.727527539199958,0.00578164415399044,0.0026382581253336836,-0.0022591147507690116,-0.007102559361519716,-0.0071747815840978455,0.005793089998123163,0.006744542775001264,,0.004983839719097924,,,-0.017098243944114123,0.0,0.008049755590605756,dollar,minute,information,0.2,unified
2024-01-16 12:57:00+00:00,53.172911464289975,58.288577569124755,26.088632225476147,32.19994534364861,,,,,,769.7636685240594,0.017846240324114415,,,,0.00909974010678553,0.0034697097403316958,-2.326460604312634e-06,0.3806369426741932,0.03312101910819587,0.5862420382150632,10.059185406300866,20.731188578274253,0.0034673832797737034,0.00578164415399044,0.0026382581253336836,-0.0022591147507690116,-0.007102559361519716,0.005164415944061781,0.0067759637395600585,,0.006908401921806698,,,-0.020565627223887786,0.0,0.011742902332584633,dollar,minute,information,0.2,unified
2024-01-16 14:35:00+00:00,41.82085210383392,36.96303557748615,28.26351289587815,8.699522681608002,,,,,,756.3305493437693,0.01773999627866289,,,,0.013643975962958929,-0.011636254112210982,2.3184024121802295e-06,0.8578304968181961,0.083376310812991,0.05879319236709381,10.110214648198411,20.770586013321378,-0.011633935709752696,0.0034673832797737034,0.00578164415399044,0.0026382581253336836,-0.0022591147507690116,0.006929249650141774,0.007715406596171489,,0.006739428435613223,,,0.01649308008558898,1.0,0.00996567854671569,dollar,minute,information,0.2,unified
2024-01-16 14:46:00+00:00,35.601105876884844,-10.407836758720805,20.52924296495836,-30.937079723679165,,,,,,745.5783672477861,0.017644695368080686,,,,0.01433673095081987,-0.00893169151415851,-2.3425705819591078e-14,0.6257840871564393,0.03565533179262143,0.33856058104928854,10.071349022714335,20.722787084833406,-0.008931691514135098,-0.011633935709752696,0.0034673832797737034,0.00578164415399044,0.0026382581253336836,0.007944674512846346,0.008251108055832372,,0.0,,,0.02303631083592827,1.0,0.008274982771889284,dollar,minute,information,0.2,unified
