,rsi,macd_macd,macd_signal,macd_histogram,bb_bb_upper,bb_bb_mid,bb_bb_lower,bb_bb_bandwidth,bb_bb_pct_b,atr,natr,vwap_rolling,zscore,frac_diff_close,hl_spread,co_return,oc_return,body_ratio,upper_shadow,lower_shadow,log_volume,log_dollar_volume,ret_1,ret_2,ret_3,ret_4,ret_5,vol_5,vol_10,vol_20,cs_spread,amihud,autocorr_10,ret,bin,weight,bar_type,source,bar_class,min_d,feature_mode
2024-01-15 14:59:00+00:00,51.64848197343341,-27.78743354355538,-5.12990836113313,-22.65752518242225,,,,,,1020.5627551020434,0.02418160214533762,,,,0.011719240547718987,-0.009613837503702654,-2.3425705819591078e-14,0.8243024666380535,0.10028305701556492,0.07541447634435974,10.071573174212773,20.721803561951056,-0.009613837503679227,0.0007864764034030104,,,,,,,0.0,,,0.02499071280897181,1.0,0.0009589514832599303,hybrid,minute,information,0.30000000000000004,unified
2024-01-15 17:06:00+00:00,69.77106289781574,-13.890267660950485,-6.881980221096601,-7.008287439853884,,,,,,985.1368440233259,0.023085447503095033,,,,0.012293343644181665,0.0110583765219145,2.369435209566724e-06,0.8945863515042121,0.013534121235198305,0.09187952725868347,10.078334409904445,20.7396258283877,0.01106074595717118,-0.009613837503679227,0.0007864764034030104,,,,,,0.011179642321046816,,,-0.022779671966146456,0.0,0.003180207418632679,hybrid,minute,information,0.30000000000000004,unified
2024-01-15 18:33:00+00:00,80.04348642113683,44.90768586713966,3.4759529965506513,41.43173287058901,,,,,,964.5413551645172,0.022290144346230417,,,,0.01610275443068367,0.013932310229216757,-2.343377462979795e-06,0.8592135476451427,0.025688863375395655,0.1150975889780266,10.074213092995754,20.749434304947,0.013929966851800564,0.01106074595717118,-0.009613837503679227,0.0007864764034030104,,,,,0.0,,,-0.02580138912805131,0.0,0.0085611159592794,hybrid,minute,information,0.30000000000000004,unified
2024-01-15 22:13:00+00:00,55.28687519144148,56.38112226445082,25.226876178601394,31.15424608584943,,,,,,902.0045358306296,0.021185452474613512,,,,0.01383623868509897,-0.01121536768283737,-2.320366121466604e-14,0.8151417416384152,0.13630962485122988,0.04854863350865739,10.075636249135764,20.734654242103986,-0.011215367682814243,-0.004987911264366375,0.013929966851800564,0.01106074595717118,-0.009613837503679227,0.01182515424439077,,,0.0,,,-0.0251777384418817,0.0,0.006593154802989785,hybrid,minute,information,0.30000000000000004,unified
2024-01-16 05:21:00+00:00,60.8478574994571,61.92977580786828,37.09773081781699,24.832044990051294,,,,,,838.3268701804917,0.019561573233506123,,,,0.009170287335669637,0.00328850407781544,-2.331468351712856e-14,0.35801526717467264,0.2269720101775321,0.41501272264525074,10.060589458921342,20.7261429989161,0.003288504077838899,0.0032476811163319906,-0.011215367682814243,-0.004987911264366375,0.013929966851800564,0.009518862613598238,,,0.0013819781540870112,,,-0.023503108038185415,0.0,0.008726045549538734,hybrid,minute,information,0.30000000000000004,unified
2024-01-16 14:02:00+00:00,57.646968047737964,83.50021586957882,59.792858462284535,23.70735740729429,,,,,,762.2337951117133,0.01780591421470601,,,,0.011121778923983364,-0.004265800395948849,-2.320366121466604e-14,0.38437303087506025,0.40075614366644713,0.21487082545639227,10.062258030358883,20.726693314813815,-0.004265800395925658,0.0005491041132311896,0.00259836950035382,0.003288504077838899,0.0032476811163319906,0.0031914395715190317,0.008191983334867444,,0.008599108668967079,,,-0.01657516681161454,0.0,0.009385675585404936,hybrid,minute,information,0.30000000000000004,unified
2024-01-16 14:42:00+00:00,43.095110310607055,27.13780032347131,53.26184683452189,-26.12404651105058,,,,,,765.1385240323054,0.018144186351694108,,,,0.019039646762263662,-0.015013632572578406,-2.336020169089185e-06,0.7944949557842892,0.18321086062998515,0.02229418358448017,10.102144826971289,20.751565810945852,-0.015015968592700957,-0.004265800395925658,0.0005491041132311896,0.00259836950035382,0.003288504077838899,0.007558782862374448,0.00906196683298791,,0.0,,,0.025019980147862664,1.0,0.006956783243282959,hybrid,minute,information,0.30000000000000004,unified
2024-01-16 15:05:00+00:00,52.539160219184765,19.923511216700717,46.59417971095766,-26.670668494256944,,,,,,769.6286294585693,0.018050764231418544,,,,0.019419798343687757,0.011013379124500554,-2.3647750424516115e-14,0.5640096618350676,0.29118357487887364,0.14480676328485104,10.47828165061887,21.138728864354075,0.011013379124524273,-0.015015968592700957,-0.004265800395925658,0.0005491041132311896,0.00259836950035382,0.009575739766121753,0.009055506000681416,,0.014105188438013064,,,0.018741167756275372,1.0,0.010733251981191134,hybrid,minute,information,0.30000000000000004,unified
2024-01-16 15:36:00+00:00,61.41913736677693,62.01917062060966,49.67917789288806,12.339992727721594,,,,,,765.3265844972431,0.017700200620682196,,,,0.016406750496665803,0.014006601023315048,-2.3425705819591078e-14,0.8477586692968035,0.02354102058073515,0.12870031012105163,10.056791602644996,20.731230664806372,0.014006601023338476,0.011013379124524273,-0.015015968592700957,-0.004265800395925658,0.0005491041132311896,0.011763834477142663,0.009068707857828165,,0.0,,,-0.019750498945808513,0.0,0.017231495914989344,hybrid,minute,information,0.30000000000000004,unified
2024-01-16 22:06:00+00:00,63.55372375657826,155.89466460538097,93.87840732761775,62.016257277763216,,,,,,688.5173281920494,0.01584856947971617,,,,0.012137604014409309,0.004968183221286606,-2.3133020883740835e-06,0.40830646690611305,0.2759340034130917,0.31575952967889875,10.047153862937,20.72632707642394,0.0049658699192442765,0.0027148688081069577,-0.0013977344146762702,-0.001548437579738176,0.014006601023338476,0.006370249123574741,0.008069416674320972,,0.0,,,-0.017149917187623775,0.0,0.012213803029501523,hybrid,minute,information,0.30000000000000004,unified
