datetime,equity
2024-06-07 17:58:00+00:00,10190.0
2024-06-10 15:45:00+00:00,10077.92
2024-06-11 06:56:00+00:00,9967.17
2024-06-12 09:54:00+00:00,9857.53
2024-06-12 13:04:00+00:00,9749.11
2024-06-13 03:38:00+00:00,9934.34
2024-06-13 12:30:00+00:00,9825.07
2024-06-14 05:46:00+00:00,9717.0
2024-06-14 21:36:00+00:00,9901.43
2024-06-16 08:10:00+00:00,9865.32
2024-06-17 09:56:00+00:00,9763.87
2024-06-17 18:00:00+00:00,9656.47
2024-06-18 02:26:00+00:00,9550.26
2024-06-18 18:05:00+00:00,9658.2
2024-06-19 02:49:00+00:00,9752.42
2024-06-20 07:17:00+00:00,9658.69
2024-06-20 11:08:00+00:00,9552.45
2024-06-21 08:49:00+00:00,9733.95
2024-06-21 20:19:00+00:00,9626.89
2024-06-24 00:05:00+00:00,9809.8
2024-06-24 09:33:00+00:00,9996.19
2024-06-24 15:49:00+00:00,9886.34
2024-06-24 19:41:00+00:00,9777.69
2024-06-25 14:28:00+00:00,9963.28
2024-06-26 08:18:00+00:00,9853.79
2024-06-26 19:01:00+00:00,9745.5
2024-06-27 14:00:00+00:00,9930.47
2024-06-28 14:18:00+00:00,9821.34
2024-06-30 07:08:00+00:00,10007.76
2024-07-01 01:06:00+00:00,10197.71
2024-07-02 12:22:00+00:00,10252.32
2024-07-02 14:36:00+00:00,10148.11
2024-07-03 01:55:00+00:00,10036.59
2024-07-03 20:59:00+00:00,9926.29
2024-07-04 01:54:00+00:00,9817.21
2024-07-04 07:53:00+00:00,9709.32
2024-07-04 13:01:00+00:00,9602.62
2024-07-04 23:34:00+00:00,9497.09
2024-07-05 02:53:00+00:00,9392.72
2024-07-05 04:17:00+00:00,9289.5
2024-07-05 10:15:00+00:00,9465.82
2024-07-05 15:05:00+00:00,9645.49
2024-07-05 18:14:00+00:00,9539.49
2024-07-06 15:52:00+00:00,9720.55
2024-07-07 07:24:00+00:00,9613.73
2024-07-07 13:18:00+00:00,9508.08
2024-07-08 00:03:00+00:00,9403.59
2024-07-08 08:06:00+00:00,9582.08
2024-07-08 09:02:00+00:00,9763.95
2024-07-08 14:26:00+00:00,9656.65
2024-07-08 22:26:00+00:00,9839.94
2024-07-09 06:31:00+00:00,10026.7
2024-07-10 04:02:00+00:00,10217.01
2024-07-10 09:25:00+00:00,10104.73
2024-07-11 03:21:00+00:00,9993.69
2024-07-11 12:30:00+00:00,10183.37
2024-07-11 16:04:00+00:00,10071.46
2024-07-12 01:24:00+00:00,9960.78
2024-07-12 15:56:00+00:00,10149.84
2024-07-13 05:28:00+00:00,10170.03
2024-07-13 19:44:00+00:00,10286.35
2024-07-13 22:53:00+00:00,10177.01
2024-07-14 14:28:00+00:00,10065.17
2024-07-14 21:20:00+00:00,9954.45
2024-07-15 04:24:00+00:00,9844.96
2024-07-15 15:02:00+00:00,9736.67
2024-07-15 22:11:00+00:00,9629.57
2024-07-16 05:53:00+00:00,9812.54
2024-07-16 10:40:00+00:00,9704.61
2024-07-16 16:03:00+00:00,9597.86
2024-07-16 23:19:00+00:00,9492.29
2024-07-17 16:12:00+00:00,9672.65
2024-07-18 02:02:00+00:00,9566.25
2024-07-18 15:13:00+00:00,9748.02
2024-07-19 05:01:00+00:00,9689.47
2024-07-19 08:12:00+00:00,9581.73
2024-07-19 16:03:00+00:00,9476.34
2024-07-21 17:00:00+00:00,9372.11
2024-07-21 21:37:00+00:00,9549.99
2024-07-23 00:19:00+00:00,9552.86
2024-07-23 04:40:00+00:00,9458.53
2024-07-23 17:01:00+00:00,9581.32
2024-07-24 21:31:00+00:00,9492.3
2024-07-25 01:08:00+00:00,9387.98
2024-07-25 14:44:00+00:00,9284.72
2024-07-25 22:05:00+00:00,9460.95
2024-07-26 02:30:00+00:00,9356.88
2024-07-26 13:52:00+00:00,9253.96
2024-07-27 13:10:00+00:00,9152.17
2024-07-27 20:14:00+00:00,9326.07
2024-07-27 20:45:00+00:00,9223.48
2024-07-28 04:59:00+00:00,9122.12
2024-07-29 00:09:00+00:00,9021.78
2024-07-29 14:02:00+00:00,8922.64
2024-07-29 17:01:00+00:00,9092.17
2024-07-30 09:53:00+00:00,9107.78
2024-07-30 14:58:00+00:00,9015.95
2024-07-31 04:23:00+00:00,9015.56
2024-07-31 19:52:00+00:00,8922.82
2024-08-01 15:17:00+00:00,9092.36
2024-08-01 19:51:00+00:00,8992.35
2024-08-01 22:11:00+00:00,8893.44
2024-08-02 11:25:00+00:00,8795.61
2024-08-02 14:37:00+00:00,8698.95
2024-08-02 19:40:00+00:00,8603.36
2024-08-03 00:56:00+00:00,8766.82
2024-08-03 15:49:00+00:00,8670.48
2024-08-03 18:33:00+00:00,8575.2
2024-08-04 14:52:00+00:00,8480.96
2024-08-04 17:10:00+00:00,8387.76
2024-08-04 21:56:00+00:00,8295.58
2024-08-05 01:06:00+00:00,8204.42
2024-08-05 04:55:00+00:00,8114.25
2024-08-05 05:03:00+00:00,8025.08
2024-08-05 06:25:00+00:00,7874.16
2024-08-05 08:11:00+00:00,7787.62
2024-08-05 11:15:00+00:00,7935.44
2024-08-05 12:38:00+00:00,7848.15
2024-08-05 13:49:00+00:00,7997.11
2024-08-05 15:01:00+00:00,7909.23
2024-08-05 18:23:00+00:00,7822.31
2024-08-05 21:00:00+00:00,7970.78
2024-08-05 23:44:00+00:00,7883.19
2024-08-06 08:34:00+00:00,7796.55
2024-08-06 12:45:00+00:00,7710.87
2024-08-07 00:17:00+00:00,7626.13
2024-08-07 14:18:00+00:00,7542.33
2024-08-07 18:06:00+00:00,7459.44
2024-08-07 22:21:00+00:00,7377.47
2024-08-08 01:44:00+00:00,7517.49
2024-08-08 12:35:00+00:00,7660.18
2024-08-08 13:49:00+00:00,7576.0
2024-08-08 21:42:00+00:00,7719.79
2024-08-08 22:56:00+00:00,7634.88
2024-08-09 12:53:00+00:00,7665.49
2024-08-09 13:35:00+00:00,7587.25
2024-08-09 18:24:00+00:00,7503.87
2024-08-11 09:20:00+00:00,7646.3
2024-08-11 20:07:00+00:00,7791.58
2024-08-12 07:16:00+00:00,7705.96
2024-08-12 11:34:00+00:00,7852.22
2024-08-12 14:26:00+00:00,7765.85
2024-08-13 00:22:00+00:00,7758.85
2024-08-13 09:23:00+00:00,7680.81
2024-08-13 16:47:00+00:00,7826.6
2024-08-14 12:30:00+00:00,7975.15
2024-08-14 16:45:00+00:00,7887.5
