datetime,equity
2024-01-31 10:57:00+00:00,10068.1
2024-01-31 13:33:00+00:00,10105.62
2024-01-31 15:31:00+00:00,10003.33
2024-01-31 17:59:00+00:00,9893.3
2024-01-31 20:53:00+00:00,9993.65
2024-01-31 21:29:00+00:00,9899.08
2024-02-01 01:21:00+00:00,9790.29
2024-02-01 04:33:00+00:00,9801.26
2024-02-01 14:18:00+00:00,9690.01
2024-02-01 17:27:00+00:00,9583.43
2024-02-01 19:50:00+00:00,9478.01
2024-02-02 13:44:00+00:00,9541.4
2024-02-02 14:45:00+00:00,9502.22
2024-02-02 15:42:00+00:00,9417.09
2024-02-04 22:39:00+00:00,9596.02
2024-02-05 08:13:00+00:00,9705.77
2024-02-05 13:36:00+00:00,9599.46
2024-02-05 15:46:00+00:00,9781.86
2024-02-05 22:07:00+00:00,9837.71
2024-02-06 02:27:00+00:00,9908.18
2024-02-06 15:28:00+00:00,9799.95
2024-02-07 17:36:00+00:00,9692.15
2024-02-07 20:16:00+00:00,9585.54
2024-02-07 22:31:00+00:00,9496.04
2024-02-08 00:25:00+00:00,9501.93
2024-02-08 04:43:00+00:00,9501.38
2024-02-08 08:50:00+00:00,9531.38
2024-02-08 14:04:00+00:00,9429.78
2024-02-08 20:15:00+00:00,9326.05
2024-02-09 02:18:00+00:00,9223.47
2024-02-09 02:45:00+00:00,9122.02
2024-02-09 10:56:00+00:00,9021.68
2024-02-09 12:08:00+00:00,8922.45
2024-02-09 14:12:00+00:00,8824.3
2024-02-09 17:27:00+00:00,8793.41
2024-02-09 18:10:00+00:00,8813.05
2024-02-09 18:29:00+00:00,8788.36
2024-02-09 18:56:00+00:00,8683.89
2024-02-09 20:23:00+00:00,8664.76
2024-02-10 10:28:00+00:00,8729.45
2024-02-10 12:04:00+00:00,8725.85
2024-02-10 15:34:00+00:00,8700.3
2024-02-10 19:34:00+00:00,8734.28
2024-02-10 20:46:00+00:00,8646.91
2024-02-11 00:06:00+00:00,8672.64
2024-02-11 03:21:00+00:00,8727.24
2024-02-11 03:59:00+00:00,8643.64
2024-02-11 08:07:00+00:00,8647.8
2024-02-11 11:20:00+00:00,8638.38
2024-02-12 00:28:00+00:00,8552.23
2024-02-12 08:26:00+00:00,8602.78
2024-02-12 10:04:00+00:00,8513.45
