datetime,equity
2024-01-09 21:25:00+00:00,10190.0
2024-01-09 21:27:00+00:00,10041.68
2024-01-09 21:28:00+00:00,9973.43
2024-01-09 21:30:00+00:00,9863.72
2024-01-09 21:34:00+00:00,9940.58
2024-01-09 21:36:00+00:00,9912.28
2024-01-09 21:46:00+00:00,9882.33
2024-01-09 21:53:00+00:00,9815.43
2024-01-09 22:31:00+00:00,9852.01
2024-01-09 22:57:00+00:00,9818.12
2024-01-10 01:16:00+00:00,9706.43
2024-01-10 01:51:00+00:00,9659.32
2024-01-10 05:05:00+00:00,9663.11
2024-01-10 08:38:00+00:00,9684.13
2024-01-10 11:53:00+00:00,9593.47
2024-01-10 12:13:00+00:00,9627.63
2024-01-10 12:28:00+00:00,9633.4
2024-01-10 12:37:00+00:00,9571.67
2024-01-10 12:55:00+00:00,9598.52
2024-01-10 12:58:00+00:00,9536.81
2024-01-10 13:05:00+00:00,9567.26
2024-01-10 13:12:00+00:00,9561.81
2024-01-10 13:19:00+00:00,9580.02
2024-01-10 13:25:00+00:00,9587.56
2024-01-10 14:09:00+00:00,9608.89
2024-01-10 16:04:00+00:00,9702.68
2024-01-10 16:59:00+00:00,9671.4
2024-01-10 17:20:00+00:00,9696.23
2024-01-10 17:35:00+00:00,9669.89
2024-01-10 17:43:00+00:00,9736.25
2024-01-10 18:03:00+00:00,9641.53
2024-01-10 18:41:00+00:00,9641.99
2024-01-10 19:06:00+00:00,9677.9
2024-01-10 19:08:00+00:00,9587.26
2024-01-10 19:09:00+00:00,9576.52
2024-01-10 19:20:00+00:00,9554.64
2024-01-10 20:10:00+00:00,9445.15
2024-01-10 20:12:00+00:00,9341.35
2024-01-10 20:16:00+00:00,9238.6
2024-01-10 20:23:00+00:00,9137.07
2024-01-10 20:28:00+00:00,9123.88
2024-01-10 20:42:00+00:00,9054.78
2024-01-10 20:44:00+00:00,8955.27
2024-01-10 21:17:00+00:00,9039.14
2024-01-10 21:18:00+00:00,9010.48
2024-01-10 21:39:00+00:00,8935.37
2024-01-10 21:47:00+00:00,8868.42
2024-01-10 21:48:00+00:00,8827.64
2024-01-10 21:59:00+00:00,8799.26
2024-01-10 22:04:00+00:00,8765.09
2024-01-10 22:07:00+00:00,8758.36
2024-01-10 22:21:00+00:00,8843.48
2024-01-10 22:22:00+00:00,8861.52
2024-01-10 22:24:00+00:00,8839.41
2024-01-10 22:51:00+00:00,8836.32
2024-01-10 23:16:00+00:00,8974.57
2024-01-10 23:27:00+00:00,8875.95
2024-01-10 23:39:00+00:00,8778.4
2024-01-11 05:39:00+00:00,8681.93
2024-01-11 06:13:00+00:00,8651.69
2024-01-11 06:38:00+00:00,8623.79
2024-01-11 07:10:00+00:00,8629.97
2024-01-11 08:15:00+00:00,8592.89
2024-01-11 10:19:00+00:00,8604.95
2024-01-11 10:46:00+00:00,8522.28
2024-01-11 14:01:00+00:00,8539.63
2024-01-11 14:31:00+00:00,8603.57
2024-01-11 14:38:00+00:00,8490.81
2024-01-11 14:42:00+00:00,8480.03
2024-01-11 14:46:00+00:00,8414.92
2024-01-11 14:49:00+00:00,8386.73
2024-01-11 14:53:00+00:00,8357.68
