datetime,equity
2024-02-28 20:07:00+00:00,9890.1
2024-02-28 23:02:00+00:00,10077.82
2024-02-29 00:14:00+00:00,9967.07
2024-02-29 00:49:00+00:00,9857.54
2024-02-29 06:02:00+00:00,10044.64
2024-02-29 07:05:00+00:00,9934.26
2024-02-29 08:25:00+00:00,9825.08
2024-02-29 10:48:00+00:00,9823.96
2024-02-29 11:35:00+00:00,9710.94
2024-02-29 12:05:00+00:00,9604.22
2024-02-29 15:15:00+00:00,9570.55
2024-02-29 15:27:00+00:00,9492.19
2024-02-29 16:38:00+00:00,9508.13
2024-02-29 16:40:00+00:00,9426.67
2024-02-29 17:24:00+00:00,9418.55
2024-02-29 17:35:00+00:00,9312.99
2024-02-29 17:42:00+00:00,9210.64
2024-02-29 17:50:00+00:00,9109.42
2024-02-29 19:02:00+00:00,9130.33
2024-02-29 19:50:00+00:00,9004.34
2024-02-29 20:27:00+00:00,8905.29
2024-02-29 21:07:00+00:00,8807.43
2024-03-01 12:38:00+00:00,8974.6
2024-03-01 14:37:00+00:00,8875.97
2024-03-01 15:47:00+00:00,8778.43
2024-03-01 16:51:00+00:00,8753.66
2024-03-01 20:54:00+00:00,8925.92
2024-03-01 21:59:00+00:00,8890.12
2024-03-02 01:32:00+00:00,8932.28
2024-03-02 03:59:00+00:00,8937.83
2024-03-02 14:25:00+00:00,8977.11
2024-03-02 16:39:00+00:00,8964.51
2024-03-02 20:10:00+00:00,8893.59
2024-03-03 03:49:00+00:00,8906.09
2024-03-03 12:28:00+00:00,8808.55
2024-03-03 16:59:00+00:00,8732.27
2024-03-03 22:00:00+00:00,8726.53
2024-03-03 23:01:00+00:00,8717.32
2024-03-04 00:22:00+00:00,8804.58
2024-03-04 00:39:00+00:00,8715.61
2024-03-04 01:01:00+00:00,8706.57
2024-03-04 08:08:00+00:00,8861.4
2024-03-04 13:57:00+00:00,8930.08
2024-03-04 14:35:00+00:00,8825.91
2024-03-04 17:25:00+00:00,8993.43
2024-03-04 18:11:00+00:00,8894.59
2024-03-04 19:24:00+00:00,8926.07
2024-03-04 19:56:00+00:00,8838.24
2024-03-05 01:12:00+00:00,9005.99
2024-03-05 02:17:00+00:00,8907.02
2024-03-05 03:12:00+00:00,8880.37
2024-03-05 04:52:00+00:00,8817.57
2024-03-05 05:04:00+00:00,8691.52
2024-03-05 07:23:00+00:00,8740.69
2024-03-05 07:53:00+00:00,8766.53
2024-03-05 08:09:00+00:00,8678.23
2024-03-05 08:59:00+00:00,8842.95
2024-03-05 12:09:00+00:00,8926.88
2024-03-05 13:04:00+00:00,8830.82
2024-03-05 14:13:00+00:00,8821.92
2024-03-05 14:43:00+00:00,8726.38
2024-03-05 15:05:00+00:00,8630.48
2024-03-05 15:23:00+00:00,8566.3
2024-03-05 15:27:00+00:00,8503.16
2024-03-05 15:31:00+00:00,8409.71
2024-03-05 16:06:00+00:00,8569.5
2024-03-05 16:26:00+00:00,8498.61
2024-03-05 16:40:00+00:00,8445.14
2024-03-05 16:57:00+00:00,8476.47
2024-03-05 17:06:00+00:00,8380.3
2024-03-05 17:42:00+00:00,8288.12
2024-03-05 18:51:00+00:00,8445.6
2024-03-05 19:18:00+00:00,8606.07
2024-03-05 19:36:00+00:00,8769.59
2024-03-05 19:53:00+00:00,8767.04
2024-03-05 19:55:00+00:00,8722.86
2024-03-05 20:00:00+00:00,8626.91
2024-03-05 20:14:00+00:00,8532.02
2024-03-05 20:38:00+00:00,8634.53
2024-03-05 20:49:00+00:00,8659.02
2024-03-05 21:08:00+00:00,8574.32
2024-03-05 21:12:00+00:00,8480.01
2024-03-05 23:48:00+00:00,8386.73
