datetime,equity
2024-01-31 09:28:00+00:00,9997.27
2024-01-31 10:57:00+00:00,9899.89
2024-01-31 14:41:00+00:00,9829.09
2024-01-31 15:35:00+00:00,9913.8
2024-01-31 16:07:00+00:00,9831.14
2024-01-31 17:56:00+00:00,9820.14
2024-01-31 20:05:00+00:00,9887.65
2024-01-31 20:53:00+00:00,9843.53
2024-01-31 21:46:00+00:00,9895.51
2024-02-01 01:21:00+00:00,9788.81
2024-02-01 04:33:00+00:00,9799.79
2024-02-01 08:15:00+00:00,9752.86
2024-02-01 14:16:00+00:00,9766.53
2024-02-01 15:04:00+00:00,9667.3
2024-02-01 17:27:00+00:00,9560.96
2024-02-01 19:50:00+00:00,9455.79
2024-02-02 13:44:00+00:00,9519.03
2024-02-02 14:45:00+00:00,9479.94
2024-02-02 15:42:00+00:00,9395.01
2024-02-03 00:01:00+00:00,9396.61
2024-02-03 13:57:00+00:00,9399.87
2024-02-03 17:56:00+00:00,9434.62
2024-02-04 00:35:00+00:00,9493.96
2024-02-04 22:39:00+00:00,9394.52
2024-02-05 13:23:00+00:00,9572.83
2024-02-05 15:01:00+00:00,9467.63
2024-02-05 15:57:00+00:00,9363.58
2024-02-06 13:45:00+00:00,9389.39
2024-02-06 15:31:00+00:00,9300.77
2024-02-07 03:51:00+00:00,9215.8
2024-02-07 20:05:00+00:00,9390.72
2024-02-07 22:31:00+00:00,9303.04
2024-02-08 04:43:00+00:00,9339.5
2024-02-08 08:50:00+00:00,9291.32
2024-02-08 11:01:00+00:00,9311.49
2024-02-08 13:38:00+00:00,9313.17
2024-02-08 15:29:00+00:00,9409.75
2024-02-08 16:33:00+00:00,9395.73
2024-02-09 02:38:00+00:00,9507.13
2024-02-09 02:45:00+00:00,9403.81
2024-02-09 04:02:00+00:00,9434.25
2024-02-09 05:56:00+00:00,9457.78
2024-02-09 07:56:00+00:00,9447.0
2024-02-09 08:59:00+00:00,9523.72
2024-02-09 10:16:00+00:00,9521.0
2024-02-09 11:31:00+00:00,9547.39
2024-02-09 12:08:00+00:00,9456.71
2024-02-09 13:33:00+00:00,9479.18
2024-02-09 14:17:00+00:00,9468.15
2024-02-09 14:20:00+00:00,9374.44
2024-02-09 14:42:00+00:00,9320.13
2024-02-09 16:11:00+00:00,9354.85
2024-02-09 17:27:00+00:00,9333.08
2024-02-09 18:10:00+00:00,9353.92
2024-02-09 18:29:00+00:00,9319.25
2024-02-09 20:23:00+00:00,9298.71
2024-02-09 22:40:00+00:00,9325.39
2024-02-10 12:04:00+00:00,9320.67
2024-02-10 20:34:00+00:00,9227.04
2024-02-11 00:06:00+00:00,9157.08
2024-02-11 03:21:00+00:00,9060.14
2024-02-11 18:02:00+00:00,9019.97
2024-02-11 20:54:00+00:00,9048.25
2024-02-12 02:47:00+00:00,9041.28
2024-02-12 08:26:00+00:00,9003.96
2024-02-12 10:04:00+00:00,8910.46
2024-02-12 13:07:00+00:00,8890.25
2024-02-12 15:04:00+00:00,9038.54
2024-02-12 15:41:00+00:00,8939.12
2024-02-12 15:56:00+00:00,8949.29
2024-02-12 16:10:00+00:00,8932.41
2024-02-12 21:13:00+00:00,8995.44
2024-02-12 23:21:00+00:00,9046.51
2024-02-13 09:50:00+00:00,9074.12
2024-02-13 11:12:00+00:00,9126.88
2024-02-13 13:36:00+00:00,9027.06
2024-02-13 14:23:00+00:00,9035.46
2024-02-13 15:04:00+00:00,9085.32
2024-02-13 15:29:00+00:00,9021.87
2024-02-13 16:59:00+00:00,8930.25
2024-02-13 21:10:00+00:00,9099.75
2024-02-14 00:43:00+00:00,9111.31
2024-02-14 04:37:00+00:00,9068.44
2024-02-14 07:28:00+00:00,8975.38
2024-02-14 08:55:00+00:00,9016.08
2024-02-14 08:58:00+00:00,8945.64
2024-02-14 09:10:00+00:00,9115.43
2024-02-14 09:36:00+00:00,9110.41
2024-02-14 15:27:00+00:00,9150.85
