datetime,equity
2024-07-21 18:08:00+00:00,9890.1
2024-07-22 06:27:00+00:00,9781.42
2024-07-22 18:02:00+00:00,9673.83
2024-07-23 13:48:00+00:00,9567.52
2024-07-23 16:59:00+00:00,9462.37
2024-07-24 14:33:00+00:00,9641.97
2024-07-25 01:09:00+00:00,9825.18
2024-07-25 15:01:00+00:00,9717.11
2024-07-25 21:52:00+00:00,9901.54
2024-07-27 12:03:00+00:00,10089.48
2024-07-27 19:01:00+00:00,9978.6
2024-07-28 04:59:00+00:00,9868.94
2024-07-29 02:32:00+00:00,10056.26
2024-07-29 14:48:00+00:00,10247.33
2024-07-30 00:17:00+00:00,10134.72
2024-07-30 14:31:00+00:00,10023.34
2024-07-31 19:51:00+00:00,9913.19
2024-08-01 12:17:00+00:00,9804.15
2024-08-01 20:32:00+00:00,9696.31
2024-08-02 02:29:00+00:00,9880.54
2024-08-02 13:40:00+00:00,9771.86
2024-08-02 21:15:00+00:00,9957.53
2024-08-03 12:28:00+00:00,10146.53
2024-08-03 16:03:00+00:00,10035.03
2024-08-04 08:10:00+00:00,9924.75
2024-08-04 16:54:00+00:00,9815.68
2024-08-04 23:46:00+00:00,9707.81
2024-08-05 02:13:00+00:00,9601.13
2024-08-05 05:26:00+00:00,9783.36
2024-08-05 07:34:00+00:00,9675.85
2024-08-05 11:27:00+00:00,9569.51
2024-08-05 13:49:00+00:00,9751.15
2024-08-05 16:25:00+00:00,9936.23
2024-08-05 20:16:00+00:00,9827.03
2024-08-06 01:38:00+00:00,9719.04
2024-08-06 13:23:00+00:00,9612.23
2024-08-06 15:30:00+00:00,9506.6
2024-08-06 23:53:00+00:00,9402.13
2024-08-07 14:17:00+00:00,9298.8
2024-08-07 14:43:00+00:00,9196.61
2024-08-08 01:12:00+00:00,9371.17
2024-08-08 12:31:00+00:00,9549.04
2024-08-08 14:17:00+00:00,9730.28
2024-08-08 22:50:00+00:00,9914.97
2024-08-09 15:51:00+00:00,10032.42
2024-08-10 00:19:00+00:00,10221.17
2024-08-11 09:20:00+00:00,10415.18
2024-08-11 20:07:00+00:00,10613.07
2024-08-12 07:16:00+00:00,10814.72
2024-08-12 11:02:00+00:00,10695.77
2024-08-12 18:36:00+00:00,10578.23
2024-08-13 04:04:00+00:00,10461.98
2024-08-13 12:30:00+00:00,10346.9
2024-08-14 13:44:00+00:00,10233.19
2024-08-14 22:03:00+00:00,10120.73
2024-08-15 12:37:00+00:00,10312.83
2024-08-15 18:16:00+00:00,10199.5
2024-08-16 02:31:00+00:00,10393.09
2024-08-16 13:17:00+00:00,10275.42
2024-08-18 23:52:00+00:00,10162.5
2024-08-19 10:00:00+00:00,10050.82
2024-08-20 00:29:00+00:00,10241.59
2024-08-20 14:15:00+00:00,10129.04
2024-08-20 21:06:00+00:00,10017.72
2024-08-21 13:42:00+00:00,9907.63
2024-08-22 02:29:00+00:00,9798.75
2024-08-22 15:42:00+00:00,9691.07
2024-08-23 14:10:00+00:00,9875.01
2024-08-23 17:48:00+00:00,10062.44
2024-08-25 22:13:00+00:00,9951.76
2024-08-26 06:50:00+00:00,9842.4
2024-08-27 09:43:00+00:00,9734.23
2024-08-27 21:17:00+00:00,9627.26
2024-08-28 07:51:00+00:00,9521.46
2024-08-28 15:20:00+00:00,9416.82
2024-08-29 11:24:00+00:00,9595.56
2024-08-29 18:18:00+00:00,9490.11
2024-08-30 05:16:00+00:00,9385.82
2024-08-30 14:56:00+00:00,9282.67
2024-09-01 02:21:00+00:00,9180.66
2024-09-01 22:26:00+00:00,9079.77
2024-09-02 10:11:00+00:00,9252.11
2024-09-03 02:09:00+00:00,9427.72
2024-09-03 13:37:00+00:00,9324.11
2024-09-03 23:54:00+00:00,9221.64
2024-09-04 14:51:00+00:00,9396.68
2024-09-05 03:07:00+00:00,9575.22
2024-09-05 06:24:00+00:00,9469.99
2024-09-06 07:24:00+00:00,9365.92
2024-09-06 14:06:00+00:00,9262.99
2024-09-06 20:50:00+00:00,9161.2
2024-09-08 01:54:00+00:00,9149.6
2024-09-08 15:55:00+00:00,9061.11
2024-09-09 08:38:00+00:00,9139.61
2024-09-09 13:52:00+00:00,9046.55
2024-09-09 21:10:00+00:00,8947.04
2024-09-10 18:38:00+00:00,8848.63
2024-09-11 01:32:00+00:00,8751.39
2024-09-11 13:50:00+00:00,8655.22
2024-09-12 05:08:00+00:00,8754.17
2024-09-12 17:18:00+00:00,8718.61
2024-09-13 11:37:00+00:00,8704.76
2024-09-13 15:22:00+00:00,8611.92
