datetime,equity
2024-02-28 07:43:00+00:00,10189.81
2024-02-28 08:57:00+00:00,10383.21
2024-02-28 11:52:00+00:00,10269.11
2024-02-28 13:25:00+00:00,10464.02
2024-02-28 16:27:00+00:00,10662.63
2024-02-28 17:12:00+00:00,10865.01
2024-02-28 17:23:00+00:00,10745.61
2024-02-28 17:31:00+00:00,10627.52
2024-02-28 17:38:00+00:00,10510.73
2024-02-28 18:05:00+00:00,10395.22
2024-02-28 18:12:00+00:00,10280.99
2024-02-28 18:55:00+00:00,10476.12
2024-02-28 19:41:00+00:00,10361.0
2024-02-28 20:07:00+00:00,10247.14
2024-02-28 23:03:00+00:00,10441.63
2024-02-29 00:14:00+00:00,10326.88
2024-02-29 02:16:00+00:00,10379.52
2024-02-29 04:46:00+00:00,10585.89
2024-02-29 16:40:00+00:00,10469.55
2024-02-29 17:41:00+00:00,10354.5
2024-02-29 18:31:00+00:00,10240.71
2024-02-29 21:00:00+00:00,10333.63
2024-02-29 21:36:00+00:00,10514.69
2024-03-01 00:45:00+00:00,10409.57
2024-03-01 02:15:00+00:00,10320.51
2024-03-01 06:19:00+00:00,10206.99
2024-03-01 08:36:00+00:00,10094.72
2024-03-01 11:31:00+00:00,10071.1
2024-03-01 15:35:00+00:00,10042.35
2024-03-01 17:27:00+00:00,9998.11
2024-03-01 20:58:00+00:00,10192.12
2024-03-02 05:18:00+00:00,10080.11
2024-03-03 07:27:00+00:00,9969.34
2024-03-03 10:11:00+00:00,9976.27
2024-03-03 12:12:00+00:00,9872.65
2024-03-04 00:27:00+00:00,10060.04
2024-03-04 00:49:00+00:00,9949.48
2024-03-04 07:46:00+00:00,10034.18
2024-03-04 08:08:00+00:00,9937.56
2024-03-04 14:41:00+00:00,10126.18
2024-03-04 17:35:00+00:00,10318.38
2024-03-04 18:26:00+00:00,10479.65
2024-03-04 20:37:00+00:00,10671.8
2024-03-05 00:50:00+00:00,10720.1
2024-03-05 01:49:00+00:00,10626.92
2024-03-05 04:50:00+00:00,10510.14
2024-03-05 05:03:00+00:00,10709.84
2024-03-05 06:32:00+00:00,10592.03
2024-03-05 07:37:00+00:00,10475.63
2024-03-05 08:09:00+00:00,10360.51
2024-03-05 11:04:00+00:00,10336.96
2024-03-05 12:57:00+00:00,10256.33
2024-03-05 14:51:00+00:00,10460.69
2024-03-05 15:05:00+00:00,10345.74
2024-03-05 15:24:00+00:00,10232.04
2024-03-05 16:03:00+00:00,10119.6
2024-03-05 16:12:00+00:00,10008.39
2024-03-05 16:48:00+00:00,9898.4
2024-03-05 17:06:00+00:00,9789.62
2024-03-05 17:57:00+00:00,9975.43
2024-03-05 19:10:00+00:00,9865.81
2024-03-05 19:36:00+00:00,9757.39
2024-03-05 19:55:00+00:00,9650.16
2024-03-05 20:38:00+00:00,9544.11
2024-03-05 21:16:00+00:00,9725.26
2024-03-05 22:17:00+00:00,9618.39
2024-03-06 02:01:00+00:00,9512.68
2024-03-06 04:55:00+00:00,9693.24
2024-03-06 05:23:00+00:00,9877.22
2024-03-06 05:38:00+00:00,9768.58
2024-03-06 07:58:00+00:00,9661.13
2024-03-06 08:12:00+00:00,9554.86
2024-03-06 09:56:00+00:00,9449.86
2024-03-06 11:22:00+00:00,9345.91
2024-03-06 12:21:00+00:00,9243.21
2024-03-06 14:11:00+00:00,9418.65
2024-03-06 14:44:00+00:00,9315.14
2024-03-06 18:02:00+00:00,9491.95
2024-03-06 21:46:00+00:00,9387.64
2024-03-07 01:08:00+00:00,9284.47
2024-03-07 08:16:00+00:00,9346.86
2024-03-07 14:33:00+00:00,9265.72
