datetime,equity
2024-03-04 09:33:00+00:00,9890.0
2024-03-04 12:32:00+00:00,9874.14
2024-03-04 13:58:00+00:00,9837.44
2024-03-04 14:03:00+00:00,9748.65
2024-03-04 17:25:00+00:00,9933.68
2024-03-04 18:12:00+00:00,9824.52
2024-03-04 22:42:00+00:00,10010.99
2024-03-04 23:30:00+00:00,9900.98
2024-03-05 03:52:00+00:00,9888.15
2024-03-05 05:02:00+00:00,9779.49
2024-03-05 07:24:00+00:00,9804.91
2024-03-05 08:08:00+00:00,9898.27
2024-03-05 08:59:00+00:00,9986.48
2024-03-05 13:03:00+00:00,9895.81
2024-03-05 14:24:00+00:00,9787.06
2024-03-05 14:55:00+00:00,9972.82
2024-03-05 15:05:00+00:00,9863.23
2024-03-05 15:28:00+00:00,9754.83
2024-03-05 16:06:00+00:00,9647.63
2024-03-05 16:12:00+00:00,9541.61
2024-03-05 17:33:00+00:00,9614.28
2024-03-05 18:31:00+00:00,9508.62
2024-03-05 19:10:00+00:00,9404.13
2024-03-05 19:36:00+00:00,9300.78
2024-03-05 19:53:00+00:00,9283.24
2024-03-05 20:05:00+00:00,9459.44
2024-03-05 20:37:00+00:00,9355.49
2024-03-05 21:12:00+00:00,9533.06
2024-03-05 22:22:00+00:00,9428.3
2024-03-06 00:56:00+00:00,9324.68
2024-03-06 06:45:00+00:00,9343.07
2024-03-06 07:58:00+00:00,9239.02
2024-03-06 08:39:00+00:00,9308.22
2024-03-06 10:58:00+00:00,9384.09
2024-03-06 12:45:00+00:00,9281.99
2024-03-06 12:52:00+00:00,9179.89
2024-03-06 14:04:00+00:00,9078.91
2024-03-06 14:54:00+00:00,9099.03
2024-03-06 14:58:00+00:00,9007.13
2024-03-06 16:52:00+00:00,8957.68
2024-03-06 18:07:00+00:00,9030.37
2024-03-06 21:04:00+00:00,8983.62
2024-03-07 01:18:00+00:00,9099.77
2024-03-07 05:42:00+00:00,9087.96
2024-03-07 08:01:00+00:00,8983.46
2024-03-07 11:20:00+00:00,8943.52
2024-03-07 14:26:00+00:00,8855.67
2024-03-07 14:43:00+00:00,8758.35
2024-03-07 20:46:00+00:00,8845.57
2024-03-07 22:40:00+00:00,8912.4
2024-03-08 07:18:00+00:00,8923.55
2024-03-08 13:52:00+00:00,8872.8
2024-03-08 15:28:00+00:00,9041.21
2024-03-08 15:32:00+00:00,9213.0
2024-03-08 15:38:00+00:00,9111.75
2024-03-08 16:02:00+00:00,9284.88
2024-03-08 16:11:00+00:00,9182.84
2024-03-08 16:46:00+00:00,9081.84
2024-03-08 17:34:00+00:00,8981.94
2024-03-08 21:20:00+00:00,9043.69
