,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,dollar_volume,direction,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
131,binance,btc,2024-02-09 18:00:00+00,2024-02-09 14:34:00+00,2024-02-09 18:00:00+00,47168.7,47826.0,46724.6,47814.0,85284.547,0.013681,4077795330.26,bullish,206,207,0.013681,0.02335,0.989105,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
132,binance,btc,2024-02-09 22:38:00+00,2024-02-09 18:01:00+00,2024-02-09 22:38:00+00,47814.1,48230.3,47238.9,47261.0,94577.276,0.011568,4469816641.04,bearish,277,278,-0.011568,0.020734,0.022292,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
133,binance,btc,2024-02-10 20:41:00+00,2024-02-09 22:39:00+00,2024-02-10 20:41:00+00,47261.1,47833.0,46836.4,47806.5,145106.954,0.01154,6937055596.4,bullish,1322,1323,0.01154,0.021087,0.97341,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
134,binance,btc,2024-02-11 03:36:00+00,2024-02-10 20:42:00+00,2024-02-11 03:36:00+00,47806.7,48479.0,47539.4,48410.3,80616.517,0.012626,3902669772.93,bullish,414,415,0.012626,0.019654,0.926884,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
135,binance,btc,2024-02-12 03:37:00+00,2024-02-11 03:37:00+00,2024-02-12 03:37:00+00,48410.3,48846.0,47912.1,48215.0,227048.027,0.004034,10947120621.8,bearish,1440,1441,-0.004034,0.019291,0.324339,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
136,binance,btc,2024-02-12 14:56:00+00,2024-02-12 03:38:00+00,2024-02-12 14:56:00+00,48215.1,48769.0,47702.0,48725.5,113926.868,0.010586,5551143606.73,bullish,678,679,0.010586,0.02213,0.959231,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
137,binance,btc,2024-02-12 15:33:00+00,2024-02-12 14:57:00+00,2024-02-12 15:33:00+00,48725.5,49466.0,48680.0,49450.5,55633.235,0.014879,2751091287.37,bullish,36,37,0.014879,0.016131,0.98028,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
138,binance,btc,2024-02-12 17:18:00+00,2024-02-12 15:34:00+00,2024-02-12 17:18:00+00,49450.5,50050.0,49338.1,50044.0,103777.921,0.012002,5193462278.52,bullish,104,105,0.012002,0.014396,0.991572,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
139,binance,btc,2024-02-13 13:36:00+00,2024-02-12 17:19:00+00,2024-02-13 13:36:00+00,50043.5,50428.8,49200.0,49229.9,264777.879,0.016258,13034988505.38,bearish,1217,1218,-0.016258,0.024555,0.024333,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
140,binance,btc,2024-02-13 13:51:00+00,2024-02-13 13:37:00+00,2024-02-13 13:51:00+00,49228.6,49944.0,49192.5,49856.2,17400.215,0.012749,867508599.08,bullish,14,15,0.012749,0.015266,0.883167,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
141,binance,btc,2024-02-13 14:13:00+00,2024-02-13 13:52:00+00,2024-02-13 14:13:00+00,49856.3,49885.4,49074.6,49074.6,20602.2,0.015679,1011044724.12,bearish,21,22,-0.015679,0.016263,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
142,binance,btc,2024-02-13 17:12:00+00,2024-02-13 14:14:00+00,2024-02-13 17:12:00+00,49074.6,49340.0,48301.0,48404.4,123204.371,0.013657,5963633655.63,bearish,178,179,-0.013657,0.021172,0.099519,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
