,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,dollar_volume,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
130,binance,btc,2024-01-29 08:17:00+00,2024-01-28 22:48:00+00,2024-01-29 08:17:00+00,41827.7,42493.0,41727.7,41963.1,61898.113,61898.113,2597436705.63,569,570,0.003237,0.018296,0.307592,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
131,binance,btc,2024-01-29 15:16:00+00,2024-01-29 08:18:00+00,2024-01-29 15:16:00+00,41963.0,42368.7,41768.3,42037.0,62041.634,62041.634,2608044168.46,418,419,0.001763,0.014308,0.447535,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
132,binance,btc,2024-01-29 16:45:00+00,2024-01-29 15:17:00+00,2024-01-29 16:45:00+00,42037.0,43238.1,41940.6,43202.5,63078.496,63078.496,2725148723.44,88,89,0.027726,0.030866,0.972563,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
133,binance,btc,2024-01-29 22:49:00+00,2024-01-29 16:46:00+00,2024-01-29 22:49:00+00,43202.5,43298.0,42863.4,43091.0,62176.641,62176.641,2679253637.33,363,364,-0.002581,0.01006,0.5237,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
134,binance,btc,2024-01-30 05:03:00+00,2024-01-29 22:50:00+00,2024-01-30 05:03:00+00,43091.1,43798.2,43058.5,43389.3,62174.377,62174.377,2697702695.97,373,374,0.00692,0.017166,0.447208,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
135,binance,btc,2024-01-30 12:35:00+00,2024-01-30 05:04:00+00,2024-01-30 12:35:00+00,43389.4,43888.0,43200.4,43390.1,62256.002,62256.002,2701294152.38,451,452,1.6e-05,0.015847,0.275887,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
136,binance,btc,2024-01-30 16:18:00+00,2024-01-30 12:36:00+00,2024-01-30 16:18:00+00,43390.1,43625.2,43092.0,43209.0,62224.902,62224.902,2688675790.52,222,223,-0.004174,0.012289,0.21943,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
137,binance,btc,2024-01-30 23:28:00+00,2024-01-30 16:19:00+00,2024-01-30 23:28:00+00,43209.0,43750.0,42878.5,42937.9,63157.19,63157.19,2711837108.5,429,430,-0.006274,0.020169,0.068158,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
138,binance,btc,2024-01-31 07:27:00+00,2024-01-30 23:29:00+00,2024-01-31 07:27:00+00,42937.8,43090.0,42634.3,43000.1,62384.474,62384.474,2682538620.45,478,479,0.001451,0.010613,0.802721,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
139,binance,btc,2024-01-31 13:35:00+00,2024-01-31 07:28:00+00,2024-01-31 13:35:00+00,43000.1,43077.0,42341.0,42767.9,62682.037,62682.037,2680779090.21,367,368,-0.0054,0.017116,0.580027,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
140,binance,btc,2024-01-31 16:02:00+00,2024-01-31 13:36:00+00,2024-01-31 16:02:00+00,42768.0,43460.0,42548.0,43283.1,62686.824,62686.824,2713280071.87,146,147,0.012044,0.021324,0.806031,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
141,binance,btc,2024-01-31 19:38:00+00,2024-01-31 16:03:00+00,2024-01-31 19:38:00+00,43283.1,43748.6,43022.3,43243.4,62883.298,62883.298,2719287608.73,215,216,-0.000917,0.01678,0.30442,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
142,binance,btc,2024-01-31 21:54:00+00,2024-01-31 19:39:00+00,2024-01-31 21:54:00+00,43243.5,43492.2,42257.6,42397.7,62590.196,62590.196,2653680352.95,135,136,-0.019559,0.02855,0.113478,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
143,binance,btc,2024-02-01 03:20:00+00,2024-01-31 21:55:00+00,2024-02-01 03:20:00+00,42397.8,42677.1,41866.8,42035.5,62631.227,62631.227,2632734942.56,325,326,-0.008545,0.019112,0.208194,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
144,binance,btc,2024-02-01 12:28:00+00,2024-02-01 03:21:00+00,2024-02-01 12:28:00+00,42035.5,42323.6,41877.0,42165.3,62571.42,62571.42,2638342695.73,547,548,0.003088,0.010624,0.645544,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
145,binance,btc,2024-02-01 15:55:00+00,2024-02-01 12:29:00+00,2024-02-01 15:55:00+00,42165.6,42936.6,41964.0,42513.4,63915.445,63915.445,2717262879.46,206,207,0.008248,0.023066,0.564878,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
