,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,dollar_volume,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
132,binance,btc,2024-02-10 06:05:00+00,2024-02-09 20:26:00+00,2024-02-10 06:05:00+00,47510.0,47645.6,47020.1,47309.6,64478.825,0.200048,3050467419.22,579,580,-0.004218,0.013166,0.46283,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
133,binance,btc,2024-02-10 18:05:00+00,2024-02-10 06:06:00+00,2024-02-10 18:05:00+00,47309.6,47377.0,46836.4,47207.2,74420.758,0.200145,3513195607.06,719,720,-0.002164,0.011427,0.685905,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
134,binance,btc,2024-02-11 01:44:00+00,2024-02-10 18:06:00+00,2024-02-11 01:44:00+00,47207.1,48189.6,47207.1,47681.9,83677.796,0.20034,3989916301.09,458,459,0.010058,0.020813,0.483257,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
135,binance,btc,2024-02-11 10:54:00+00,2024-02-11 01:45:00+00,2024-02-11 10:54:00+00,47681.8,48600.0,47588.8,48031.8,92154.473,0.20039,4426345216.24,549,550,0.00734,0.021207,0.438093,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
136,binance,btc,2024-02-11 20:26:00+00,2024-02-11 10:55:00+00,2024-02-11 20:26:00+00,48031.7,48469.3,47914.1,48357.3,83357.728,0.200068,4030954660.21,571,572,0.006779,0.011559,0.798271,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
137,binance,btc,2024-02-12 06:04:00+00,2024-02-11 20:27:00+00,2024-02-12 06:04:00+00,48357.3,48846.0,47961.0,48110.5,84945.025,0.20005,4086747625.26,577,578,-0.005104,0.018301,0.168927,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
138,binance,btc,2024-02-12 14:50:00+00,2024-02-12 06:05:00+00,2024-02-12 14:50:00+00,48110.5,48735.8,47702.0,48557.2,99220.133,0.200997,4817851842.11,525,526,0.009285,0.021488,0.827239,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
139,binance,btc,2024-02-12 18:24:00+00,2024-02-12 14:51:00+00,2024-02-12 18:24:00+00,48557.3,50413.2,48520.0,49997.6,217716.49,0.200612,10885301980.42,213,214,0.029662,0.038989,0.780477,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
140,binance,btc,2024-02-13 01:35:00+00,2024-02-12 18:25:00+00,2024-02-13 01:35:00+00,49997.8,50293.9,49501.2,50231.8,86962.917,0.200047,4368303854.16,430,431,0.00468,0.015855,0.92166,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
141,binance,btc,2024-02-13 11:09:00+00,2024-02-13 01:36:00+00,2024-02-13 11:09:00+00,50231.9,50428.8,49754.4,49851.7,81899.146,0.200079,4082811656.65,573,574,-0.007569,0.013426,0.144276,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
142,binance,btc,2024-02-13 15:08:00+00,2024-02-13 11:10:00+00,2024-02-13 15:08:00+00,49851.8,50038.0,48356.0,48771.1,150940.417,0.200211,7361530171.55,238,239,-0.021678,0.03374,0.24679,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
143,binance,btc,2024-02-13 20:45:00+00,2024-02-13 15:09:00+00,2024-02-13 20:45:00+00,48771.1,49520.1,48301.0,49497.2,105712.764,0.200817,5232485822.26,336,337,0.014888,0.024996,0.981216,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
144,binance,btc,2024-02-14 06:10:00+00,2024-02-13 20:46:00+00,2024-02-14 06:10:00+00,49497.2,49783.5,49215.7,49633.9,64927.712,0.200944,3222615564.64,564,565,0.002762,0.011471,0.736527,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
145,binance,btc,2024-02-14 11:07:00+00,2024-02-14 06:11:00+00,2024-02-14 11:07:00+00,49633.8,51761.7,49550.5,51120.9,139240.325,0.200683,7118090730.29,296,297,0.029961,0.04455,0.710203,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
146,binance,btc,2024-02-14 15:45:00+00,2024-02-14 11:08:00+00,2024-02-14 15:45:00+00,51120.8,52100.0,51100.0,51817.8,128348.062,0.201351,6650714207.1,277,278,0.013634,0.019562,0.7178,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
