datetime,open,high,low,close,volume
2024-01-01 00:00:00+00:00,42314.0,42832.0,42207.9,42727.6,70385.399
2024-01-01 12:00:00+00:00,42727.7,44266.0,42614.5,44230.2,136038.745
2024-01-02 00:00:00+00:00,44230.3,45950.0,44200.9,45486.8,250292.799
2024-01-02 12:00:00+00:00,45486.8,45850.0,44598.0,44979.8,209505.724
2024-01-03 00:00:00+00:00,44979.7,45582.3,43500.0,43728.9,172503.548
2024-01-03 12:00:00+00:00,43728.9,43738.8,40333.0,42849.5,423351.677
2024-01-04 00:00:00+00:00,42849.5,43290.0,42625.0,43188.2,108405.667
2024-01-04 12:00:00+00:00,43188.2,44840.8,43107.4,44143.8,225517.431
2024-01-05 00:00:00+00:00,44143.8,44332.4,42300.0,43769.9,183247.557
2024-01-05 12:00:00+00:00,43769.9,44500.0,43000.0,44145.4,191720.234
2024-01-06 00:00:00+00:00,44145.3,44214.6,43391.3,43669.2,73139.2
2024-01-06 12:00:00+00:00,43669.2,44149.9,43527.2,43956.7,65403.597
2024-01-07 00:00:00+00:00,43956.6,44267.9,43824.2,44054.0,63365.808
2024-01-07 12:00:00+00:00,44054.0,44486.9,43557.5,43916.9,117344.906
2024-01-08 00:00:00+00:00,43916.9,44748.5,43158.1,44637.2,150443.866
2024-01-08 12:00:00+00:00,44637.2,47312.0,44350.0,46972.7,344644.117
2024-01-09 00:00:00+00:00,46972.6,47173.5,46253.7,46624.4,125406.14
2024-01-09 12:00:00+00:00,46624.4,48100.0,44417.2,46114.0,387956.633
2024-01-10 00:00:00+00:00,46113.9,46252.5,44800.0,45530.2,112491.312
2024-01-10 12:00:00+00:00,45530.1,47699.3,44291.5,46662.9,556166.162
2024-01-11 00:00:00+00:00,46663.0,47171.0,45610.1,47068.5,133183.192
2024-01-11 12:00:00+00:00,47068.5,49027.5,45600.0,46337.8,463515.187
2024-01-12 00:00:00+00:00,46337.9,46536.2,45527.5,45958.0,120900.902
2024-01-12 12:00:00+00:00,45958.0,46120.0,41370.0,42788.9,455042.356
2024-01-13 00:00:00+00:00,42789.0,43265.1,42445.7,42631.9,115789.154
2024-01-13 12:00:00+00:00,42631.8,43273.4,42509.8,42846.4,91948.172
