datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,vwap,duration_seconds,tick_count,bar_return,price_range,close_position,buy_dollar_volume,sell_dollar_volume,buy_sell_imbalance
2024-01-01 08:00:00.001000+00:00,2024-01-01 00:00:00+00:00,2024-01-01 08:00:00.001000+00:00,42283.578,42775.0,42180.77,42492.461,6655.083191,282461814.57,42443.018,28800.0,233460,0.00494,0.014053,0.524529,145414533.68,137047280.89,0.029623
2024-01-01 16:00:00.005000+00:00,2024-01-01 08:00:00.005000+00:00,2024-01-01 16:00:00.005000+00:00,42492.461,42847.07,42452.578,42783.039,5885.254089,251104921.69,42666.794,28800.0,231396,0.006838,0.009284,0.837687,128837210.32,122267711.37,0.026162
2024-01-02 00:00:00.006000+00:00,2024-01-01 16:00:00.005000+00:00,2024-01-02 00:00:00.006000+00:00,42783.039,44184.102,42664.422,44179.551,14633.98183,636429832.52,43489.861,28800.0,398560,0.032642,0.035521,0.997005,343100635.35,293329197.17,0.078204
2024-01-02 07:28:30.125000+00:00,2024-01-02 00:00:00.006000+00:00,2024-01-02 07:28:30.125000+00:00,44179.539,45643.75,44148.34,45464.129,23910.710865,1076758476.18,45032.474,26910.1,582168,0.029077,0.033848,0.879885,595578435.01,481180041.17,0.106243
2024-01-02 15:28:30.296000+00:00,2024-01-02 07:28:30.294000+00:00,2024-01-02 15:28:30.296000+00:00,45464.141,45879.629,44833.328,44987.09,23372.112451,1062779596.69,45472.124,28800.0,600289,-0.010493,0.023014,0.146957,517593470.86,545186125.83,-0.025963
2024-01-02 23:28:30.739000+00:00,2024-01-02 15:28:30.296000+00:00,2024-01-02 23:28:30.739000+00:00,44987.039,45399.84,44600.0,44964.531,17248.599302,777182283.04,45057.704,28800.4,533197,-0.0005,0.017779,0.455755,401715700.29,375466582.75,0.033775
2024-01-03 07:28:33.925000+00:00,2024-01-02 23:28:32.994000+00:00,2024-01-03 07:28:33.925000+00:00,44964.539,45410.91,44802.012,45346.0,8774.001279,396512432.6,45191.745,28800.9,273060,0.008484,0.013542,0.893397,183496671.36,213015761.24,-0.074447
2024-01-03 12:13:12.336000+00:00,2024-01-03 07:28:34.196000+00:00,2024-01-03 12:13:12.336000+00:00,45346.0,45500.0,40750.0,41500.0,22882.510005,1001981995.83,43788.116,17078.1,601633,-0.084815,0.10475,0.157895,430691239.58,571290756.25,-0.140321
2024-01-03 15:23:31.670000+00:00,2024-01-03 12:13:12.345000+00:00,2024-01-03 15:23:31.670000+00:00,41505.379,42820.922,41335.789,42365.988,23666.897554,1001981777.78,42336.845,11419.3,570719,0.020735,0.035782,0.693675,506637571.02,495344206.77,0.011271
2024-01-03 21:35:09.788000+00:00,2024-01-03 15:23:31.670000+00:00,2024-01-03 21:35:09.788000+00:00,42365.988,43567.922,42000.0,42842.211,23395.098973,1001983992.53,42828.799,22298.1,556232,0.011241,0.037009,0.537151,519886489.71,482097502.82,0.037714
2024-01-04 05:35:10.248000+00:00,2024-01-03 21:35:09.838000+00:00,2024-01-04 05:35:10.248000+00:00,42842.211,43220.559,42591.09,43121.52,10133.821708,434755334.62,42901.419,28800.4,294212,0.006519,0.014693,0.842662,202704461.59,232050873.03,-0.067501
