,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,vwap,bar_volatility,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
51,binance,btc,2024-01-23 16:59:00+00,2024-01-23 09:52:00+00,2024-01-23 16:59:00+00,39205.6,39479.2,38545.0,39312.8,180251.915,7019607217.66,38943.316,0.3397772,427,428,0.002734,0.023828,0.82188,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
52,binance,btc,2024-01-24 02:47:00+00,2024-01-23 17:00:00+00,2024-01-24 02:47:00+00,39312.7,40247.0,38983.0,39744.5,142302.828,5627522188.42,39546.102,0.33950708,587,588,0.010984,0.032152,0.602453,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
53,binance,btc,2024-01-24 15:43:00+00,2024-01-24 02:48:00+00,2024-01-24 15:43:00+00,39744.5,40560.6,39550.0,40071.6,150345.736,6014448595.43,40004.118,0.33999789,775,776,0.00823,0.025427,0.516129,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
54,binance,btc,2024-01-25 06:01:00+00,2024-01-24 15:44:00+00,2024-01-25 06:01:00+00,40071.7,40208.4,39493.3,39906.0,112936.297,4506866356.35,39906.27,0.3394855,857,858,-0.004135,0.017846,0.577122,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
55,binance,btc,2024-01-25 20:08:00+00,2024-01-25 06:02:00+00,2024-01-25 20:08:00+00,39906.0,40300.0,39535.3,39947.0,152652.675,6094835406.05,39926.162,0.33950529,846,847,0.001027,0.019163,0.538381,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
56,binance,btc,2024-01-26 12:12:00+00,2024-01-25 20:09:00+00,2024-01-26 12:12:00+00,39947.1,41490.0,39630.0,41357.9,179512.171,7261284397.38,40450.095,0.34035712,963,964,0.035317,0.046562,0.928978,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
57,binance,btc,2024-01-26 22:16:00+00,2024-01-26 12:13:00+00,2024-01-26 22:16:00+00,41357.9,42239.3,40890.0,41854.5,188653.954,7856647281.41,41645.813,0.33984001,603,604,0.012007,0.032625,0.714815,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
58,binance,btc,2024-01-27 22:01:00+00,2024-01-26 22:17:00+00,2024-01-27 22:01:00+00,41854.4,42165.6,41360.1,42130.1,117574.765,4910876575.31,41768.117,0.3396955,1424,1425,0.006587,0.019245,0.955928,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
59,binance,btc,2024-01-28 15:52:00+00,2024-01-27 22:02:00+00,2024-01-28 15:52:00+00,42130.1,42836.0,41908.2,42239.3,150880.948,6394950769.58,42384.084,0.33975257,1070,1071,0.002592,0.022022,0.356866,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
60,binance,btc,2024-01-29 08:07:00+00,2024-01-28 15:53:00+00,2024-01-29 08:07:00+00,42239.3,42493.0,41600.0,42079.7,117328.806,4934583216.67,42057.73,0.34025018,974,975,-0.003778,0.021141,0.537178,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
