,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,vwap,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
124,binance,btc,2024-01-09 12:56:00+00,2024-01-09 11:43:00+00,2024-01-09 12:56:00+00,46453.0,47080.0,45400.0,45806.2,31839.098,1477048506.59,46391.029,73,74,-0.013924,0.036166,0.241786,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
125,binance,btc,2024-01-09 13:02:00+00,2024-01-09 12:57:00+00,2024-01-09 13:02:00+00,45806.2,46800.0,45700.0,46509.1,22926.024,1063071834.47,46369.655,5,6,0.015345,0.024014,0.735545,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
126,binance,btc,2024-01-09 13:52:00+00,2024-01-09 13:03:00+00,2024-01-09 13:52:00+00,46509.1,46974.8,46447.0,46924.9,22480.413,1048978848.08,46661.903,49,50,0.00894,0.011348,0.905457,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
127,binance,btc,2024-01-09 14:48:00+00,2024-01-09 13:53:00+00,2024-01-09 14:48:00+00,46924.8,47100.0,46541.9,46691.0,21529.487,1007542755.41,46798.27,55,56,-0.004982,0.011893,0.267156,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
128,binance,btc,2024-01-09 15:43:00+00,2024-01-09 14:49:00+00,2024-01-09 15:43:00+00,46691.0,47025.6,46432.0,46906.0,22516.996,1051504478.29,46698.258,54,55,0.004605,0.012713,0.798518,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
129,binance,btc,2024-01-09 17:01:00+00,2024-01-09 15:44:00+00,2024-01-09 17:01:00+00,46906.0,46997.5,46575.0,46838.7,21515.367,1008051417.57,46852.625,77,78,-0.001435,0.009007,0.624142,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
130,binance,btc,2024-01-09 19:03:00+00,2024-01-09 17:02:00+00,2024-01-09 19:03:00+00,46838.8,46918.2,46500.0,46711.6,21453.456,1001508840.4,46682.867,121,122,-0.002716,0.008928,0.505978,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
131,binance,btc,2024-01-09 21:11:00+00,2024-01-09 19:04:00+00,2024-01-09 21:11:00+00,46711.6,47640.0,46570.7,47637.0,24326.067,1143536368.54,47008.683,127,128,0.019811,0.022892,0.997194,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
132,binance,btc,2024-01-09 21:17:00+00,2024-01-09 21:12:00+00,2024-01-09 21:17:00+00,47637.0,48100.0,45550.0,46086.8,56556.584,2660019883.63,47032.895,5,6,-0.032542,0.05353,0.21051,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
133,binance,btc,2024-01-09 21:24:00+00,2024-01-09 21:18:00+00,2024-01-09 21:24:00+00,46086.8,46637.6,46005.6,46120.0,22764.823,1054912971.95,46339.608,6,7,0.00072,0.013713,0.181013,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
134,binance,btc,2024-01-09 21:30:00+00,2024-01-09 21:25:00+00,2024-01-09 21:30:00+00,46119.9,46184.6,44417.2,46009.3,38056.706,1735706713.05,45608.433,5,6,-0.002398,0.038322,0.900815,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
135,binance,btc,2024-01-09 21:44:00+00,2024-01-09 21:31:00+00,2024-01-09 21:44:00+00,46009.3,46327.6,45543.0,45973.8,22271.814,1024943510.37,46019.759,13,14,-0.000772,0.017053,0.54907,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
136,binance,btc,2024-01-09 22:03:00+00,2024-01-09 21:45:00+00,2024-01-09 22:03:00+00,45973.8,46180.0,45266.3,45326.0,22537.899,1028647217.52,45640.777,18,19,-0.014091,0.019874,0.065339,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
137,binance,btc,2024-01-09 22:48:00+00,2024-01-09 22:04:00+00,2024-01-09 22:48:00+00,45325.9,46020.0,45322.0,46019.0,21876.396,1001185095.86,45765.541,44,45,0.015291,0.0154,0.998567,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
138,binance,btc,2024-01-10 00:22:00+00,2024-01-09 22:49:00+00,2024-01-10 00:22:00+00,46018.9,46272.7,45801.0,46077.8,21784.566,1004409663.25,46106.48,93,94,0.00128,0.01025,0.586814,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
139,binance,btc,2024-01-10 02:12:00+00,2024-01-10 00:23:00+00,2024-01-10 02:12:00+00,46077.8,46181.2,45629.6,45993.0,21805.621,1000322827.7,45874.54,109,110,-0.00184,0.011971,0.658811,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
140,binance,btc,2024-01-10 06:16:00+00,2024-01-10 02:13:00+00,2024-01-10 06:16:00+00,45992.9,46228.4,45883.0,45990.1,21732.261,1000932390.72,46057.444,243,244,-6.1e-05,0.00751,0.310075,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
141,binance,btc,2024-01-10 08:55:00+00,2024-01-10 06:17:00+00,2024-01-10 08:55:00+00,45990.0,46076.9,45440.7,45489.7,21981.283,1006222540.47,45776.333,158,159,-0.010878,0.013833,0.07702,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
142,binance,btc,2024-01-10 10:22:00+00,2024-01-10 08:56:00+00,2024-01-10 10:22:00+00,45489.8,45737.9,45300.0,45672.3,21991.307,1001261821.32,45529.891,86,87,0.004012,0.009626,0.850194,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
143,binance,btc,2024-01-10 12:01:00+00,2024-01-10 10:23:00+00,2024-01-10 12:01:00+00,45672.4,45740.1,44800.0,45530.0,22347.025,1015622414.0,45447.768,98,99,-0.003118,0.020584,0.776513,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
144,binance,btc,2024-01-10 12:37:00+00,2024-01-10 12:02:00+00,2024-01-10 12:37:00+00,45530.1,45680.0,44850.0,44964.2,23508.321,1064061223.8,45263.174,35,36,-0.012429,0.01823,0.13759,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
145,binance,btc,2024-01-10 12:56:00+00,2024-01-10 12:38:00+00,2024-01-10 12:56:00+00,44964.2,45150.0,44450.0,44563.4,23809.207,1067504527.46,44835.787,18,19,-0.008914,0.015568,0.162,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
146,binance,btc,2024-01-10 13:12:00+00,2024-01-10 12:57:00+00,2024-01-10 13:12:00+00,44563.4,45150.0,44291.5,45110.2,23756.177,1062580628.08,44728.604,15,16,0.01227,0.019265,0.95364,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
